अ, [ ʌ ]
क, [ k ]
ज, [ ʤ ]
ण, [ ɳ ]
भ, [ bʱ ]
ह, [ ɦ ]
आ, [ɑː~aː]
क्ष, [ kx ]
ज़, [ z ]
त, [ t̪ ]
म, [ m ]
ं,  m]
इ, [ ɪ ]
क़, [ q ]
झ, [ ʤʱ ]
थ, [ t̪ʰ ]
य, [ j ]
ई, [ iː ]
ख, [ kʰ ]
ञ, [ ɲ ]
द, [ d̪ ]
, [ jʌ ]
ः, [ ḥ ]
उ, [ ʊ ]
ग, [ g ]
ट, [ ʈ ]
ध, [ d̪ʱ ]
र, [ ɾ ]
ऊ, [ uː ]
ग़, [ ɣ ]
ठ, [ ʈʰ ]
न, [ n ]
ल, [ l ]
्, [ eː ]
घ, [ gʰ ]
ड, [ ɖ ]
प, [ p ]
व, [ ʋ ]
ऐ, [æː~ɛː]
ङ, [ ŋ ]
ड़, [ ɽ ]
फ, [ pʰ ]
श, [ ʃ ]
ओ, [ oː ]
च, [ ʧ ]
ढ, [ ɖʰ ]
फ़, [ f ]
ष, [ x ]
औ, [ ɔː ]
छ, [ ʧʰ ]
ढ़, [ ɽʰ ]
ब, [ b ]
स, [ s ]
