Doulos,IPA,XSAMPA,UNICODE,syllabic,stress,long,consonantal,sonorant,continuant,delayed release,approximant,tap,trill,nasal,voice,spread gl,constr gl,LABIAL,round,labiodental,CORONAL,anterior,distributed,strident,lateral,DORSAL,high,low,front,back,tense
Å,?,Q,252,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,+,-,+,0
A,?,A,251,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,+,-,+,0
Ø,?,&,276,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,+,+,-,0
a,a,a,61,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,+,-,-,0
Q,Ê,{,0.00E+00,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,+,+,-,0
√,?,V,028C ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,-
ç,?,O,254,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,-,+,-
o,o,o,006F ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,-,+,+
F,?,7,264,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,+
Ç,?,@\,258,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,-,+
ø,ú,9,153,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,+,-,-
´,?,@,259,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,-,-
e,e,e,65,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,+,-,+
œ,?,3\,025E ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,-,-,-
O,¯,2,00F8 ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,+,-,+
E,?,E,025B ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,+,-,-
P,?,8,275,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,-,-,+
µ,?,M,026F ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,+
u,u,u,75,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,-,+,+
U,?,U,028A ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,-,+,-
ˆ,?,1,268,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,-,+
¨,?,},289,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,-,-,+
y,y,y,79,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,+,-,+
i,i,i,69,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,+
Y,?,Y,028F ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,+,-,-
I,?,I,026A ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,-
N+,,,,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
