イ ,ʔi ,[ʔi] ,
ワ ,ʔwa ,[ʔɰa] ,
ヨ ,jo ,[jo],
ホ ,ho ,[ho] ,
ガ ,ga ,[ɡa] ,
カ ,ka ,[ka] ,
チャ ,ca ,[ʨa] ,
シ ,si ,[ɕi] ,
デ ,de ,[de] ,
ル ,ru ,[ɾu] ,
マ ,ma ,[ma] ,
ボ ,bo ,[bo] ,
ポ ,po ,[po] ,
エ ,ʔe ,[ʔe] ,
ン,ʔɴ,[ʔn/ʔm],
ユ ,ju ,[ju] ,
フ ,hu ,[ɸu] ,
ゴ ,go ,[ɡo] ,
コ ,ko ,[ko] ,
チョ ,co ,[ʨo] ,
シェ ,se ,[ɕe] ,
ダ ,da ,[da] ,
ティ ,ti ,[ti] ,
モ ,mo ,[mo] ,
ブ ,bu ,[bu] ,
プ ,pu ,[pu] ,
ア ,ʔa ,[ʔa] ,
イ/ユィ ,i ,[i/ji],
ヱ ,we ,[ɰe] ,
ヒャ ,hja ,[ça] ,
グ ,gu ,[ɡu] ,
ク ,ku ,[ku] ,
チュ ,cu ,[ʨu] ,
サ ,sa ,[sa] ,
ド ,do ,[do] ,
テ ,te ,[te] ,
ム ,mu ,[mu] ,
ビャ ,bja ,[bja] ,
ピャ ,pja ,[pja] ,
オ ,ʔo ,[ʔo] ,
エ/イェ ,e ,[e/je],
ワ ,wa ,[ɰa] ,
ヒョ ,hjo ,[ço] ,
ギャ ,gja ,[ɡja] ,
キャ ,kja ,[kja] ,
ジ ,zi ,[ʥi] ,
ソ ,so ,[so] ,
ドゥ ,du ,[du] ,
タ ,ta ,[ta] ,
ミャ ,mja ,[mja] ,
ビョ ,bjo ,[bjo] ,
ピュ ,pju ,[pju] ,
ウ ,ʔu ,[ʔu] ,
ア ,a ,[a],
ン,ɴ,[n/m/ŋ/ɴ],
ヒュ ,hju ,[çu] ,
グヱ ,gwe ,[ɡʷe] ,
クヱ ,kwe ,[kʷe] ,
ジェ ,ze ,[ʥe] ,
ス ,su ,[su] ,
リ ,ri ,[ɾi] ,
ト ,to ,[to] ,
ミョ ,mjo ,[mjo] ,
ビュ ,bju ,[bju] ,
ッ,q,[h/j/s/t/p],
ヤ ,ʔja ,[ʔja] ,
オ/ヲ ,o ,[o/wo],
ヒ ,hi ,[çi] ,
フヮ,hwa ,[ɸa],
グヮ,gwa ,[ɡʷa] ,
クヮ,kwa ,[kʷa] ,
ジャ ,za ,[ʥa] ,
シャ ,sja ,[ɕa] ,
レ ,re ,[ɾe] ,
トゥ ,tu ,[tu] ,
ビ ,bi ,[bi] ,
ピ ,pi ,[pi] ,
ー,ᴇ,[ː],
ヨ ,ʔjo ,[ʔjo] ,
ウ/ヲゥ ,u ,[u/wu],
ヘ ,he ,[çe] ,
ギ ,gi ,[ɡi] ,
キ ,ki ,[ki] ,
チ ,ci ,[ʨi] ,
ジョ ,zo ,[ʥo] ,
シュ ,sju ,[ɕu] ,
ラ ,ra ,[ɾa] ,
ミ ,mi ,[mi] ,
ベ ,be ,[be] ,
ペ ,pe ,[pe] ,
ユ ,ʔju ,[ʔju] ,
ヤ ,ja ,[ja],
ハ ,ha ,[ha] ,
ゲ ,ge ,[ɡe] ,
ケ ,ke ,[ke] ,
チェ ,ce ,[ʨe] ,
ジュ ,zu ,[ʥu] ,
ディ ,di ,[di] ,
ロ ,ro ,[ɾo] ,
メ ,me ,[me] ,
バ ,ba ,[ba] ,
パ ,pa ,[pa] ,

