က,k,[k],
ဇ,z,[z],
မ,m,[m],
သ,s̱,[θ],
အ,a,[ə/a],
အာ,a,[a],
အော,o,[ɔ],
ာ,à,[a˨],
ကျ,ky,[ʨ],
ည,ñ,[ɲ],
ယ,y,[j],
ဟ,h,[h],
ဣ,i,[ʔḭ],
အါ,a,[a],
အေါ,o,[ɔ],
ာဥ်,àñ,[ãĩ˨],
ခ,kh,[kʰ],
တ,t,[t],
ယှ,hy,[h],
အ,',[ʔ],
ဤ,ì,[ʔi˨],
အိ,i,[ḭ],
အ်ာ,àu,[ɔ˨],
ာဥ်,àñ,[ɛ͂˨],
ချ,khy,[ʃ~ʨʰ],
ထ,th,[tʰ],
ယျ,yhy,[h],
ျ, -y-,[j],
ဥ,u,[wə],
အီ,i,[i],
အ်ျ,àu,[ɔ˨],
င်,àṅ,[ɔ͂˨],
ဂ,g,[g],
ဒ,d,[d],
ရ,r,[r],
ြ, -r-,[r],
ဦ,u,[ʔu˨],
အု,u,[ə/ṵ],
အဲ့,wai,[wɛ],
န်,àn,[e˨],
ဂျ,gy,[ʥ],
န,n,[n],
ရှ,hr,[h],
ွ, -w-,[w],
ဧ,e,[ʔi],
အူ,u,[u],
င,ṅ,[ŋ],
ပ,p,[p],
လ,l,[l],
ှ,h,[-̥],
ဩ,ó,[ʔɔ˥],
အေ,e,[i],
စ,s,[s],
ဖ,ph,[pʰ],
လှ,hl,[ɬ],
ဪ,àu,[ʔɔ˨],
အဲ,ai,[e],
ဆ,sh,[sʰ],
ဗ,b,[b],
ဝ,w,[w],

