خ,خيه,ze,x,[x],
ﺽ,ضاد,dad,z,[z],
ڴ,نف/صغير كاف,naf/sağır kaf,ng,[ŋ],
یَ,ja,[jɑ],
ﺡ,حيه,he,h,[h],
ﺹ,صاد,sad,ṣ,[s],
گ,گاف,gaf,g,[ɟ],
ێ,e,[e],
چ,چيم,çim,ç,[ʧ],
ش,شين,şin,ş,[ʃ],
ک,كاف,kaf,k,[k],
ۆ,ө/ö,[œ],
ج,جيم,cim,c,[ʤ],
س,سين,sin,s,[s],
ق,قاف,qaf,q,[g],
ى,ييه,ye,y/ı/i,[j/ɪ/ɯ],
ﺙ,ثيه,se,s,[s],
ژ,ژيه,je,j,[ʒ],
ف,فيه,fe,f,[f],
ه,هيه,ha,h,[h],
ﺀ,همزة,həmzə,ت,تيه,te,t,[t],
ز,زيه,ze,z,[z],
غ,غين,ğeyn,ğ,[ɣ],
و,واو,vav,v/o/ö/u/ü,[v/ɔ/œ/u/y],
یۆ,jo,[jɔ],
پ,پيه,pe,p,[p],
ر,ريه,re,r,[r],
ع,عين,əyn,ə/‘,[æ/Ø],
ن,نون,nun,n,[n],
یع,e,[e],
ب,بيه,be,b,[b],
ﺫ,ذال,zal,z,[z],
ﻅ,ظاء,za,z,[z],
م,ميم,mim,m,[m],
یێ,je,[je],
آ/ا,ألف,əlif,a/ə/o/ ’,[ɑ/æ/ɔ/Ø],
د,دال,dal,d,[d],
ﻁ,تاء,ta,t,[t],
ل,لام,lam,l,[l],
یُ,ju,[ju],

