خ,kh,[x],
ض,d,[d̪],
گ,g,[g],
ࢬ,y,[j],
ࣵ,oñ,[ɔ̃],
ح,h/kh,[x],
ص,s,[s],
ك,k,[k],
ࢫ,w,[w],
ٌ,uñ,[ũ],
چ,ch,[c],
ش,c,[ʃ],
ق,q,[q],
ࢪ,ç,[ɽ],
ٍ,iñ,[ĩ],
ج,j,[ɟ],
س,s,[s],
ڤ,v,[v],
ي,y,[j],
ً,añ,[ã],
ث,ts,[t̪s],
ز,z,[z],
ف,f,[f],
ء,’,[ʔ],
ࣶ,ou,[o],
ٹ,th,[ʈ],
ڑ,ç,[ɽ],
ڠ,ng,[ŋ],
ه,h,[h],
ࣸ,e,[e],
ࣼ, ࣿ,aá,[ˇː],
ت,t,[t̪],
ر,r,[r],
غ,g,[g],
و,w,[w],
ࣴ,o,[ɔ],
ࣻ, ࣾ,áa,[ˆː],
پ,p,[p],
ذ,z,[z],
ع,’,[ʔ],
ن,n,[n],
ُ,u,[u],
ࣺ, ࣽ,á,[´],
ب,b,[b],
ڈ,dh,[ɖ],
ظ,z,[z],
م,m,[m],
ِ,i,[i],
ࣷ,ouñ,[õ],
ا,[-/ʔ],
د,d,[d̪],
ط,ta,[t̪],
ل,l,[l],
َ,a,[a],
ࣹ,eñ,[ẽ],

