A a,[a],
Ẽ ẽ,[ẽ],
Gb gb,[gb],
L l,[l],
Ɔɔ ɔɔ,[ɔː],
Uu uu,[uː],
mb,[mb],
Aa aa,[aː],
Ẽe ẽe,[ẽː],
H h,[h],
M m,[m],
Ɔ̃ ɔ̃,[ɔ̃],
Ũ ũ,[ũ],
mp,[mp],
Ã ã,[ã],
Ɛ ɛ,[ɛ],
I i,[i],
N n,[n],
Ɔ̃ɔ ɔɔ̃,[ɔ̃ː],
Ũu ũu,[ũː],
nd,[nd],
Ãa ãa,[ãː],
Ɛɛ ɛɛ,[ɛː],
Ii ii,[iː],
O o,[o],
P p,[p],
V v,[v],
ng,[ŋg],
B b,[b],
Ɛ̃ ɛ̃,[ɛ̃],
Ĩ ĩ,[ĩ],
Oo oo,[oː],
R r,[ɾ],
W w,[w],
nk,[ŋk],
D d,[d],
Ɛ̃ɛ ɛ̃ɛ,[ɛ̃ː],
Ĩi ĩi,[ĩː],
Õ õ,[õ],
S s,[s],
Y y,[j],
ns,[ns],
E e,[e],
F f,[f],
K k,[k],
Õo õo,[õː],
T t,[t],
Z z,[z],
nt,[nt],
Ee ee,[eː],
G g,[g],
Kp kp,[kp],
Ɔ ɔ,[ɔ],
U u,[u ],
gw,[gw],
nz,[nz],

