А а,а,a,[a/æ],
Ё ё,ё,ö,[œ/jo],
М м,эм,m,[m],
У у,у,u/w,[u],
ъ,къаты,белги,[j],
Б б,бе,b,[b],
Ж ж,же,j/c,[ʒ],
Н н,эн,n, [n],
Ў ў,у къысха,w,[y],
Ы ы,ы,ı,[ɨ],
В в,ве,v,[v],
З з,зе,z,[z],
Нг нг,энг,ñ, [ŋ],
Ф ф,эф,f,[f],
Ь ь,джумушакъ,белги,[ʲ],
Г г,ге,g,[g],
И и,и,i,[i],
О о,о,o,[o],
Х х,ха,h,[h/x],
Э э,э,e,[e/æ],
Гъ гъ,гъа,ğ,[ʁ],
Й й,и 
къысха,y,y,П п,пе,p,[p],
Цц,це,ts,[ʦ],
Ю ю,ю,ü,[y/ju],
Д д,де,d,[d],
К к,ке,k, [k/kʲ],
Р р,эр,r,[r],
Ч ч,че,ç,[ʧ],
Я я,я,ä/ya,[æ/ja],
Дж дж,дже,c,[ʤ],
Къ къ,къа,q, [q],
С с,эс,s,[s],
Ш ш,ша,ş,[ʃ],
Е е,е,e,[e/je],
Л л,эл,l,[l],
Т т,те,t,[t],
Щ щ,ща,ş,[ʃ],

