à,[a],
y,[ʏ/y/j],
ẽ,[æ̃],
oă,[oɐ],
åu,[ɒu],
òuă,[ɔuɐ],
b,[b̥],
g,[ɡ̊],
pp,[p],
st/scht,[ʃt],
a,[ɑ],
ò,[ɔ],
ê,[ẽ],
òă,[ɔɐ],
åó,[ɒo̝],
ouă,[ouɐ],
bf,[b̥͡v],
h,[h],
pf,[p͡f/b̥͡v],
t,[t/d̥],
å,[ɒ],
o,[o],
î,[ĩ],
eă,[eɐ],
èj/èi,[ɛi],
òă,[ɔɐ],
c,[k/ɡ̊/
t͡s/d̥͡z],
j,[j],
qu,[kβ/ɡ̊β̬],
tt,[t],
ä,[æ],
ó,[o̝],
ô,[õ],
èă,[ɛɐ],
ej/éi,[ei],
ch,[x/ɣ̊/
ç/ʝ],
k,[k/ɡ̊],
r,[r/ɐ],
tz,[t͡s],
è,[ɛ],
u,[u],
û,[ũ],
iă,[iɐ],
oi,[oi],
chh,[x/ç],
kch,[k͡x/g̊͡ɣ̊],
s,[s/z̥],
tsch,[t͡ʃ/d̥͡ʒ],
e,[e],
ă,[ɐ̆/ɐ],
uă,[uɐ],
ui,[ui],
ck,[k],
l,[l/lʲ],
sch,[ʃ/ʒ̊],
v,[f/v̥],
é,[e̝],
ĕ,[ɛ̆/ĕ],
ài,[ại],
òu,[ɔu],
d,[d̥],
m,[m],
schh,[ʃ],
w,[β/β̬],
ö,[œ/ø],
ŏ,[ɔ̆/ŏ],
äi,[æi],
ou,[ou],
dsch,[d̥͡ʒ],
n,[n],
sp/schp,[ʃp],
x,[ks/ɡ̊z̥],
i,[i],
â,[ạ̃/ã],
äé,[æe̝],
èjă,[ɛiɐ],
f,[f/v̥],
ng,[ŋ],
ss,[s],
z,[t͡s/d̥͡z],
ü,[ʏ/y],
ã,[ɑ̃/ɒ̃],
àu,[ạu],
ejă,[eiɐ],
ff,[f],
p,[p/b̥],

