ᚠ,ᚠᛇᚻ,feoh,wealth,f,[f/v],
ᛀ,ᛀᚣᛞ,nyd,need,n,[n],
ᛖ,ᛖᚻ,eh,horse,e,[e],
ᛡ,ᛡᚱ,ior,eel,ia/io,[ia/io],
ᚢ,ᚢᚱ,ur,aurochs,u,[u],
ᛁ,ᛁᛋ,is,ice,i,[i],
ᛗ,ᛗᚪᛀᛀ,mann,man,m,[m],
ᛠ,ᛠᚱ,ear,grave,ea,[ea],
ᚦ,ᚦᚩᚱᛀ,þorn,thorn,þ/ð/th,[θ/ð],
ᛄ,ᛄᛖᚱ,ger,year,j,[j],
ᛚ,ᛚᚪᚷᚢ,lagu,lake,l,[l],
ᛢ,ᛢᛇᚱᚦ,cweorð,kw,[kw],
ᚩ,ᚩᛋ,ós,(a) god,ó,[o],
ᛇ,ᛇᚻ,eoh,yew,eo,[eo],
ᛝ,ᛁᛝ,ing,Ing (a hero),ŋ/ng,[ŋ],
ᛣ,ᛣᚪᛚᛣ,calc,chalice,k,[k],
ᚱ,ᚱᚪᛞ,rad,ride,r,[r],
ᛈ,ᛈᛇᚱᚦ,peorð,?,p,[p],
ᛟ,ᛟᚦᛖᛚ,éðel,estate,œ,[œ],
ᛥ,ᛥᚪᛀ,stan,st,[st],
ᚳ,ᚳᛖᛀ,cen,torch,c,[k],
ᛉ,ᛇᛚᚻ,eolh,elk-sedge,x,[x],
ᛞ,ᛞᚫᚷ,dæg,day,d,[d],
ᚸ,ᚸᚪᚱ,gar,spear,g,[g],
ᚷ,ᚷᚣᚠᚢ,gyfu,gift,ȝ,[g/j],
ᛋ,ᛋᛁᚷᛖᛚ,sigel,sun,s,[s/z],
ᚪ,ᚪᚳ,ac,oak,a,[a],
ᚹ,ᚹᚣᛀᛀ,wynn,joy,w/ƿ,[w],
ᛏ,ᛏᛁᚹ,tiw,Tiw (god),t,[t],
ᚫ,ᚫᛋᚳ,æsc,ash tree,æ,[æ],
ᚻ,ᚻᚫᚷᛚ,hægl,hail,h,[h/x],
ᛒ,ᛒᛇᚱᚳ,beorc,birch,b,[b],
ᚣ,ᚣᚱ,yr,bow,y,[y],

