خ,خيه,xe,x,[x],
ﺽ,ضاد,zad,z,[z],
ڴ,نف/صغير كاف,nəf/sağır kaf,ng,[ŋ],
ﺡ,حيه,he,h,[h],
ﺹ,صاد,sad,ṣ,[s],
گ,گاف,gaf,g,[g],
چ,چيم,çim,ç,[ʧ],
ش,شين,şin,ş,[ʃ],
ک,كاف,kaf,k,[k],
ﺀ,همزة,həmzə,[ʔ],
ج,جيم,cim,c,[ʤ],
س,سين,sin,s,[s],
ق,قاف,qaf,q,[gʲ],
ى,ييه,ye,y/ı/e/i,[j/i/e/ɯ],
ﺙ,ثيه,se,s,[s],
ژ,ژيه,je,j,[ʒ],
ف,فيه,fe,f,[f],
ه,هيه,ha,h,[h],
ت,تيه,te,t,[t],
ز,زيه,ze,z,[z],
غ,غين,ğeyn,ğ,[ɣ],
و,واو,vav,v/o/ö/u/ü,[v/o/œ/u/y],
پ,پيه,pe,p,[p],
ر,ريه,re,r,[r],
ع,عين,əyn,‘,[ʔ],
ن,نون,nun,n,[n],
ب,بيه,be,b,[b],
ﺫ,ذال,zal,z,[z],
ﻅ,ظاء,za,z,[z],
م,ميم,mim,m,[m],
آ/ا,ألف,əlif,a/ə/ ’,[ɑ/æ/Ø],
د,دال,dal,d,[d],
ﻁ,تاء,ta,t,[t],
ل,لام,lam,l,[l],

