Α α,άλφα,álfa,a,[a],
Ζ ζ,ζήτα,zíta,z,[z],
Ν ν,νι,ni,n,[n],
Υ υ,ύψιλον,ípsilon,i/f/v,[i/f/v],
αυ,af/av,[af/av],
̌τσ,ts,[ts],
Β β,βήτα,víta,v,[v],
Η η,ήτα,íta,i,[i],
Ν̌ ν̌,ν̌ι,gni,gn,[ɲ],
Φ φ,φι,fi,f,[f],
αι,e,[e],
υι,i,[i],
Б b,bι,bi,b,[b],
Θ θ,θήτα,thíta,th,[θ],
Ξ ξ,ξι,xi,x,[(k)s],
Χ χ,χι,khi,kh,[x/ç],
dζ,dz,[dz],
Γ γ,γάμμα,ghámma,gh/j,[γ/j],
Ι ι,γιώτα,jóta,i,[i],
Ο ο,όμικρον,ómikron,o,[o],
Ψ ψ,φσι/σπι,fsi/spi,ps,[(p)s],
ει,i,[i],
G g,gι,ghi,g/gh,[g],
Κ κ,κάππα,káppa,k/ch,[k],
Π π,πι,pi,p,[p],
Ω ω,ωμέγα,omégha,o,[o],
ευ,ef/ev,[ef/ev],
Ǵ ǵ,ǵι,gi,g,[dʒ],
Κ́ κ́,κ́ι,ci,c,[tʃ],
Ρ ρ,ρω,ro,r,[r],
ϊ,i,[i],
Δ δ,δέλτα,dhélta,dh,[δ],
Λ λ,λάμδα,lámda,l,[l],
Σ σ,ς,σίγμα,sigma,s,[s],
λλ,ddh,[ɖɖ],
D d,dι,di,d,[d],
Λ̌ λ̌,λ̌ι,gli,gli,[ʎ],
Σ̌ σ̌,σ̌ι,sci,sc(i),[ʃ],
οι,i,[i],
Ε ε,έψιλον,épsilon,e,[e],
Μ μ,μι,mi,m,[m],
̌Τ τ,ταυ,tav,t,[t],
ου,u,[u],

