А а,a,a,[a],
З з,зӑ,z,[z],
С с,сӑ,s,[s],
Щ щ,щӑ,şç,[ɕː/ɕt͡ɕ],
Ӑ ӑ,ӑ,ӑ,[ə],
И и,и,i,[i],
Ҫ ҫ,şӑ,ş,[ɕ],
Ъ ъ,хытăлăх,палли, ʺ,Б б,бӑ,b,[b],
Й й,йӑ,y,[j],
Т т,тӑ,t,[t],
Ы ы,ы,ı,[ɯ],
В в,вӑ,v,[ʋ],
К к,кӑ,k, [k],
У у,у,u,[u],
Ь ь,ʹ,[ʲ],
Г г,гӑ,g,[g],
Л л,лӑ,l,[l],
Ӳ ӳ,ÿ,ü,[y],
Э э,э,e,[e],
Д д,дӑ,d,[d],
М м,мӑ,m,[m],
Ф ф,фӑ,f,[f],
Ю ю,ю,yu,[ju/ʲu],
Е е,е,e,[ɛ],
Н н,нӑ,n, [n],
Х х,хӑ,h,[χ],
Я я,я,ya,[ja/ʲa],
Ё ё,ё,yo,[jo/ʲo],
О о,о,o,[o],
Цц,цӑ,ts/z/c,[ts],
Ӗ ӗ,ӗ,ĕ,[ɘ],
П п,пӑ,p,[p],
Ч ч,чӑ,ç,[tɕ],
Ж ж,жӑ,j,[ʐ],
Р р,рӑ,r,[r],
Ш ш,шӑ,sh/š,[ʂ],

