А а,a,[a],
Дә дә,də,[dʷ],
И и,i,[j/jɨ/ɨj/i],
М м,m,[m],
Тә тә, t°,[t’ʷ],
Ҳә ҳә, x̢°,[ħʷ],
Ҿ ҿ, ċ̨,[t͡ʂʼ],
ь,’,[ʲ],
Б б,b,[b],
Е е,e,[ɛ],
К к,k, [k’],
Н н,n, [n],
Ҭ ҭ, t̢,[tʰ],
Ц ц,c,[t͡sʰ],
Ш ш,š,[ʂ],
ә,ə,[ʷ],
В в,v,[v],
Ж ж,ž,[ʐ],
Кь кь,k’, [k’ʲ],
О о,o,[o],
Ҭә ҭә,t̢°,[tʷʰ],
Цә цә,c°,[t͡ɕʷʰ],
Шь шь,š’,[ʃ],
Г г,g,[g],
Жь жь,ž’,[ʒ],
Қ қ,k̢, [kʰ],
П п,p,[p’],
У у,u,[w/wɨ/ɨw/u],
Ҵ ҵ,c̄,[t͡sʼ],
Шә шә,š°,[ʃʷ],
Гь гь,g’,[gʲ],
Жә жә,žə,[ʒʷ],
Қь қь,k̢’, [kʲʰ],
Ҧ ҧ,ṗ,[pʰ],
Ф ф,f,[f],
Ҵә ҵә,c̄°,[t͡ɕʼʷ],
Ы ы,y,[ɨ],
Ҕ ҕ, ġ,[ɣ~ʁ],
З з,z,[z],
Ҟ ҟ,k̄, [q’],
Р р,r,[r],
Х х,x,[x~χ],
Ч ч,č,[t͡ʃʰ],
Ҩ ҩ, o̩,[ɥ~ɥˤ],
Ӷь ӷь, ġ’,[ɣʲ~ʁʲ],
Ӡ ӡ,źə,[d͡z],
Ҟь ҟь,k̄’, [q’ʲ],
С с,s,[s],
Хь хь,x’,[xʲ~χʲ],
Ҷ ҷ,č,[t͡ʃ],
Џ џ, ǰ,[d͡ʐ],
Д д,d,[d],
Ӡә ӡә,źə’,[d͡ʑʷ],
Л л,l,[l],
Т т,t,[t’],
Ҳ ҳ,x̢,[ħ],
Ҽ ҽ,ċ,[t͡ʂʰ],
Џь џь, ǰ',[d͡ʒ],

