a,[ɐ],
i,[i],
b,[b],
n,[n],
p,[p],
bb,[bː],
nk,[ᵑk/ᵑkʰ],
à,[a],
ii,[iː],
c,[c],
nc,[ɲc],
q,[q],
cc,[cːʰ],
ññ,[ɲː],
aa,[aː],
o,[ɔ],
d,[d],
nd,[n̩d],
r,[r],
dd,[dː],
ŋŋ,[ŋː],
e,[ɛ],
oo,[ɔ:],
f,[f],
ng,[ŋ̍g],
s,[s],
gg,[gː],
pp,[pː/pːʰ],
ee,[ɛː],
ó,[o],
g,[g],
nj,[ɲɟ],
t,[t],
jj,[ɟːʰ],
rr,[rː],
é,[e],
óo,[oː],
j,[ɟ],
nk,[ŋ̍k],
w,[w],
kk,[kː/kːʰ],
tt,[tː/tːʰ],
ée,[eː],
u,[u],
k,[k],
nq,[ɴq],
x,[x~χ],
ll,[lː/ɫː],
ww,[wː],
ë,[ə],
uu,[uː],
l,[l],
nt,[n̩t],
y,[j],
mm,[mː],
yy,[jː],
ëe,[əː],
m,[m],
ñ,[ɲ],
nn,[nː],
mb,[m̩b],
ŋ,[ŋ],

