Ⲁ ⲁ,ⲁⲗⲫⲁ,alpha,a,[a/ʔ/ʕ],
Ⲓ ⲓ,ⲓⲟⲧⲁ,yota,i,[iː~j],
Ⲥ ⲥ,ⲥⲓⲙⲁ,sima,s,[s],
Ϧ ϧ,ϧⲁⲓ,khay,kh,[x],
Ⲃ ⲃ,ⲃⲏⲧⲁ,bēta,b/v,[β~v],
Ⲕ ⲕ,ⲕⲁⲃⲃⲁ,kabba,k,[k],
Ⲧ ⲧ,ⲧⲁⲃ,taw,t,[t],
Ϩ ϩ,ϩⲱⲣⲓ,hōri,h,[h/ħ],
Ⲅ ⲅ,ⲅⲁⲙⲙⲁ,gamma,g,[g],
Ⲗ ⲗ,ⲗⲟⲗⲁ,lola,l,[l],
Ⲩ ⲩ,ⲉⲡⲥⲓⲗⲟⲛ,epsilon,u/ou,[uː],
Ϫ ϫ,ϫⲁⲛϫⲁ,janja,j/dzh,[ʤ],
Ⲇ ⲇ,ⲇⲉⲗⲧⲁ,delta,d,[d],
Ⲙ ⲙ,ⲙⲉ,me,m,[m],
Ⲫ ⲫ,ⲫⲓ,fi,f,[f],
Ϭ ϭ,ϭⲏⲙⲁ,tshēma,q/tsh,[kʲ/tʃ],
Ⲉ ⲉ,ⲉⲓ,ei,e,[i/e],
Ⲛ ⲛ,ⲛⲉ,ne,n,[n],
Ⲭ ⲭ,ⲭⲉ,khe,kh,[kʰ],
Ϯ ϯ,ϯⲓ/ϯⲉ,ti/de,ti/de,[ti/de],
Ⲋ ⲋ,ⲋⲟ,so,Ⲝ ⲝ,ⲉⲝⲓ,eksi,ks,[ks],
Ⲯ ⲯ,ⲉⲯⲓ,epsi,ps,[ps],
Ⳁ ⳁ,Ⲍ ⲍ,ⲍⲏⲧⲁ,zēta,z,[z],
Ⲟ ⲟ,ⲟ,o,o,[o],
Ⲱ ⲱ,ⲱⲩ,ōu,ō/o,[oː],
Ⲏ ⲏ,ⲏⲧⲁ,ēta,ē/e,[eː],
Ⲡ ⲡ,ⲡⲓ,pi,p,[p],
Ϣ ϣ,ϣⲁⲓ,shay,sh/š,[ʃ],
Ⲑ ⲑ,ⲑⲏⲧⲁ,thēta,th/t',[tʰ],
Ⲣ ⲣ,ⲣⲟ,ro,r,[r],
Ϥ ϥ,ϥⲁⲓ,fay,f,[f],

