А а,a,[a],
Д д,d,[d],
К к,k, [kʰ],
КӀкӀ кӀкӀ,kˡkˡ, [k’ː],
М м,m,[m],
СС сс,ss,[sː],
ХъӀ хъӀ,x″ˡ,[q’~qχ’],
Ч ч,č,[ʧʰ],
Б б,b,[b],
Дж дж,dž/ǧ,[ʤ],
Кк кк,kk, [kʰː],
Л л,l,[l],
Н н,n, [n],
Т т,t,[tʰ],
Хь хь,x′,[ç],
Чч чч,čč,[ ʧʰː],
В в,v,[w/v],
Е е,e,[e],
Къ къ,k″/qq, [qʰː~qχː],
Лъ лъ,l″,[ɬ],
О о,o,[o],
ТӀ тӀ,tˡ,[t’],
ХӀ хӀ,x′,[ħ],
ЧӀ чӀ,čˡ,[ʧ’],
Г г,g,[g],
Ж ж,ž,[ʒ],
КъӀ къӀ,k″ˡ/q/q‘, [qʰ~qχ],
Лълъ лълъ,l″l″,[ɬː],
П п,p,[pʰ],
У у,u,[u],
Ц ц,c,[ʦʰ],
ЧӀчӀ чӀчӀ,čˡčˡ,[ʧ’ː],
Гъ гъ,g″/ğ/ġ,[ɣ],
З з,z,[z],
Кь кь,k′, [k͡l’ː],
ЛЬ ль,l′,[ʎ],
ПӀ пӀ,pˡ,[p’],
Х х,x,[x],
Цц цц,cc,[ʦʰː],
Ш ш,š,[ʃ],
Гь гь,h/g′,[h],
И и,i,[i],
КьӀ кьӀ,k′ˡ,[k͡l’],
ЛӀ лӀ,lˡ,[kl͡ʰː],
Р р,r,[r],
Хх хх,xx,[xː],
ЦӀ цӀ,cˡ,[ʦ’],
Щ щ,š̩,[ʃː],
ГӀ гӀ,gˡ/ʿ,[ʕ],
Й й,j,[j],
КӀ кӀ,kˡ,[k’],
ЛӀъ лӀъ,lˡ″,[kl͡ʰ],
С с,s,[s],
Хъ хъ,x″,[q’ː~qχː’],
ЦӀцӀ цӀцӀ,cˡcˡ,[ʦ’ː],
Ъ ъ,″,[ʔ],

