Աա,այբ,ayb,a,[ɑ],
Իի,ինի,ini,i,[ɪ],
Յյ,հի,hi,y,[h/j],
Տտ,տյուն,tyown,t,[t] ,
Բբ,բեն,ben,b,[b],
Լլ,լյուն ,liwn,l,[l],
Նն,նու,now,n,[n],
Րր,րե,re,r,[ɾ],
Գգ,գիմ,gim ,g,[g] ,
Խխ,խե,xe,x,[x],
Շշ,շա,ša,š,[ʃ],
Ցց,ցո,c’o,c’,[tsʰ],
Դդ,դա,da,d,[d],
Ծծ,ծա,ça,ç,[ts],
Ոո,ո,vo,o,[vo/o],
ՈՒու,հիւն,hiwn,w,[v],
Եե,եչ,yeč,e,[ɛ/jɛ],
Կկ,կեն,ken,k,[k],
Չչ,չա,ča,č,[ʧʰ],
Փփ,փյուր,p'yowr,p’,[pʰ],
Զզ,զա,za,z,[z],
Հհ,հո,ho,h,[h],
Պպ,պե,pe,p,[p],
Քք,քե,k’,k’,[kʰ],
Էէ,է,ē,ē,[e],
Ձձ,ձա,ja,j,[dz] ,
Ջջ,ջե,ǰe,ǰ,[ʤ],
և,և,jew,ew,[ev/jev],
-,Ըը,ըթ,ët’,ë,[ə],
Ղղ,ղատ,ġat,ġ,[ʁ],
Ռռ,ռա,ṙa,ṙ,[r],
Օօ,օ,ò,ò,[o],
Թթ,թո,t‘o,t‘,[tʰ],
Ճճ,ճե,č̣e,č̣,[ʧ],
Սս,սե,se,s,[s],
Ֆֆ,ֆե,fe,f,[f],
Ժժ,ժե,že,ž,[ʒ],
Մմ,մեն,men,m,[m],
Վվ,վեվ,vev,v,[v],
Հայերէն,Hajerēn,Armenian (language),Հայերէն լեզու ,Hajerēn lezow,Արեւելա Հայերէն ,Arevela Hajerēn,Eastern Armenian,՜,exclamation,mark,՝,comma,՞,question,mark,՟,abbreviation,mark,։,fullstop/,period,
