А а,азъ,[as],
a,З з,земля,[zʲɪˈmlʲæ],
z,М м,мыслѣте,[mɨˈsʲlʲetʲɪ],
m,У у,укъ,[uk],
u,Ѣ ѣ,ять,[jætʲ],
ě,Ѫ ѫ,юсъ большой,[jus bɐlʲˈʂoj],
ǫ,Б б,буки,[ˈbukʲɪ],
b,И и,иже,[ˈiʐɨ],
i,Н н,нашъ,[naʂ],
n,Ф ф,фертъ,[fʲert],
f,Щ щ,ща,[ɕt͡ɕæ],
šč,Ѧ ѧ,юсъ малый,[jus ˈmɑlɨj],
ę,В в,вѣди,[vʲe.dʲɪ],
v,Ѳ ѳ,ѳита,['fʲi:.tə],
f/th,Ѯ ѯ,кси,[ksʲi],
ks,Х х,хѣръ,[xʲer],
h/x,Ъ ъ,еръ,[jeʀ],
ʺ,Ѭ ѭ,юсъ большой іотированный,[jus bɐlʲˈʂoj,
jǫ,Г г,глаголь,[ɡlɐˈɡolʲ],
g,І і,і,[i],
i,О о,онъ,[on],
o,Ѱ ѱ, пси,[psʲi],
ps,Ы ы,еры,[jɪˈrɨ],
y,Ѩ ѩ,юсъ малый іотированный,[jus ˈmɑlɨj,
ję,Д д,добро,[dɐˈbro],
d,Ѵ ѵ,і,[ˈiʐɨtsə],
i/ü,П п,покой,[pɐˈkoj],
p,Ѡ ѡ, омега,[ɐˈmʲeɡə],
ô,Ь ь,ерь,[jeʀʲ],
’,Е е,есть,[jesʲtʲ],
e,Й й,и съ краткой,[ɪ s ˈkratkəj],
j,Р р,рцы,[rt͡sɨ],
r,Ц ц,цы,[t͡sɨ],
c,Э э,э оборотное,[ˈɛ əbɐˈrotnəɪ],
è,Ѕ ѕ,зѣло,[zʲɪˈlo],
dz,К к,како,[ˈkakə],
k,С с,слово,[ˈslovə],
s,Ч ч,червь,[t͡ɕerfʲ],
č,Ю ю,ю,[ju],
ju,Ж ж,живѣте,[ʐɨˈvʲetʲɪ],
ž,Л л,люди,[ˈlʲʉdʲɪ],
l,Т т,твердо,[ˈtvʲerdə],
t,Ш ш,ша,[ʂa],
š,Я я,я,[ja],
ja,
