A a,a,[a],
E e,e,[ɛ],
K k,ka,[k],
Ndr ndr,ndra,[ⁿdr],
R r,ra,[r],
Y y,ya,[j],
´,high,[´],
Ạ ạ,ạ,[ə],
F f,fa,[f],
Kp kp,kpa,[kp],
Ng ng,nga,[ᵑɡ],
S s,sa,[s],
’Y ’y,’ya,[ˀj],
^,mid,[¯],
B b,ba,[b],
G g,ga,[g],
L l,la,[l],
Ngb ngb,ngba,[ᵑᵐɡb],
T t,ta,[t],
Z z,za,[z],
˜,low,[`],
’B ’b,’ba,[ɓ],
Gb gb,gba,[gb],
M m,ma,[m],
Nj nj,nja,[ⁿdz],
Tr tr,tra,[tr],
’,a’,[ʔ],
´˜,rising,[^],
C c,ca,[ts],
H h,ha,[h],
Mb mb,mba,[ᵐb],
Ny ny,nya,[ɲ],
U u,u,[u],
˜^,falling,[ˇ],
D d,da,[d],
I i,i,[ɪ],
Mv mv,mva,[ᶬv],
Ŋ ŋ,ŋa,[ŋ],
V v,va,[v],
Dr dr,dra,[dr],
Ị ị,ị,[i],
N n,na,[n],
O o,o,[ɔ],
W w,wa,[w],
’D ’d,’da,[ɗ],
J j,ja,[dz],
Nd nd,nda,[ⁿd],
P p,pa,[p],
’W ’w,’wa,[ˀw],

