Аа,аꙁъ,azǔ,a,[a],
Ии,іижє,iže,i,[i],
Сс,слово,slovo,s,[s],
Щщ,ща,šta,št,[ʃt],
Ѩѩ,ѩсъ,jęsǔ, ję/jẽ,[jɛ̃],
Бб,боукꙑ,bukū,b,[b],
Іі/Її,ꙉрьвь,i,i/ı,[i],
Тт,тврьдо,tvr̥do,t,[t],
Ъъ,ѥръ,jerǔ,ǔ/u:,[ʌ],
Ѫѫ,ѫсъ,ǫsǔ, ǫ/õ,[ɔ̃],
Вв,вѣдѣ,vědě,v,[v],
Кк,како,kako,k,[k],
Qq/Ѹѹ,оукъ,ukǔ,u,[u],
Ыы,ѥрꙑ,jerū,ū,[y],
Ѭѭ,ѭсъ,jǫsǔ, jǫ/jõ,[iɔ̃],
Гг,глаголи,glagoli,g,[g],
Лл,людиѥ,ljidije,l,[l],
Фф,фрьт,fr̤̥tǔ,f,[f],
Ьь,ѥрь,jerǐ,ǐ,[ɪ],
Ѯ ѯ,ѯі,xi,x,[ks],
Дд,добро,dobro,d,[d],
Мм,мꙑслитє,mūslite,m,[m],
Хх,ъхѣръ,hěrǔ,h,[x],
Ѣѣ,ꙗть,jatǐ,ě,[ja],
Ѱѱ,ѱі,psi,ps,[ps],
Єє,єстъ,estǐ,e,[ɛ],
Нн,нашь,našǐ,n,[n],
Ѡѡ,ѡтъ,ōtŭ,ō,[oː],
Яя,ꙗ,ja,ja,[ia],
Ѳѳ,ѳитаѵкъ,fita,θ/th,[t/θ/f],
Жж,живѣтє,živěte,ž,[ʒ],
Оо,онъ,onǔ,o,[o],
Цц,ци,ci,c,[ts],
Ѥѥ,ѥ,je,je, [iɛ],
Ѵѵ,ѵжица,üžica,ü,[ɪ/y],
Ѕѕ,ꙃѣло,dzělo,dz,[ʣ],
Пп,покои,pokoi,p,[p],
Чч,чрьвь,čr̤̥vǐ,č,[ʧ],
Юю,ю,ju,ju,[iu],
Ҁҁ,копа,kopa,q,[k],
Çç/Зз,ꙁємлꙗ,zemlja,z,[z],
Рр,рьци,rǐci,r,[r],
Шш,ша,ša,š,[ʃ],
Ѧѧ,ѧсъ,ęsǔ,ę/ẽ,[ɛ̃],
Ꙉꙉ,ꙉєрв,đerv,đ,[dʑ],

