А а,a,a,[ɑ],
Д д,де,d,[d],
К к,кa,k,[kʰ],
П п,пe,p,[pʰ],
УЬ уь,уь,ü,[y],
Ч ч,чe,č,[ʧʰ],
Ю ю,ю,ju,[ju],
аӀ,a‘,[ɑˤ],
cc,ss,[sː],
ччв,ččw,[ʧʷː],
Б б,бе,b,[b],
Дж дж,дже,dž,[ʤ],
Къ къ,къa,qq,[qː],
ПӀ пӀ,пӀe,p’,[p’],
Ф ф,eф,f,[f],
ЧӀ чӀ,чӀe,čˡ,[ʧ’],
Я я,я,ja,[jɑ],
аь,ä,[æ],
фф,ff,[fː],
чӀв,čˡw,[ʧ’ʷ],
В в,ве,v,[v],
Е е,e,e/je,[e/je],
Кь кь,кьa,q’,[q’],
Р р,eр,r,[r],
Х х,хa,x,[χ],
Ш ш,шa,š,[ʃ],
дз,dz,[ʣ],
хх,xx,[χː],
шв,šw,[ʃʷ],
Г г,ге,g,[g],
Ё ё,ё,jo,[jɔ],
КӀ кӀ,кӀa,kˡ,[k’],
С с,eс,s,[s],
Хъ хъ,хъa,q,[qʰ],
Щ щ,щa,šš,[ʃː],
джв,džw,[ʤʷ],
хъхъ,qq,[qː],
щв,ššw,[ʃʷː],
Гъ гъ,гъе,ğ,[ʁ],
Ж ж,же,ž,[ʒ],
Л л,eл,l,[l],
Т т,тe,t,[tʰ],
Хь хь,хьa,x̧,[x],
ъ,ъ,’,[ʔ],
жв,žw,[ʒʷ],
хьхь,x̧x̧,[xː],
Гь гь,гье,h,[ɦ],
З з,зе,z,[z],
М м,eм,m,[m],
Тт тт,ттe,tt,[tː],
ХӀ хӀ,хӀa,ḥ,[ħ],
Ы ы,ы,y,[ɨ],
кк,kk,[kː],
цц,cc,[ʦː],
ГьӀ гьӀ,гьӀе,ğ‘,[ʡ~ʁˤ],
И и,i,i,[i],
Н н,eн,n,[n],
ТӀ тӀ,тӀe,t’,[t’],
Ц ц,цe,c,[ʦʰ],
ь,ь,’,[j],
оь,ö,[ø],
чв,čw,[ʧʷ],
ГӀ гӀ,гӀе,‘,[ʕ],
Й й,j,j,[j],
О о,o,o,[ɔ],
У у,у,u,[u],
ЦӀ цӀ,цӀe,cˡ,[ʦ’],
Э э,э,ė,[e],
пп,pp,[pː],
чч,čč,[ʧː],

