ꤰ,ka,[ka],
ꤵ,na,[na],
ꤻ,nya,[ɲa],
ꤰ,ka,[ka],
ꥊꤰ,kai,[kai],
(katiling),ꤱ,ga,[ga],
ꤸ,ma,[ma],
ꥂ,mba,[mba],
ꥈꤰ,ku,[ku],
(kamitan),ꥑꤰ,kar,[kar],
(kajunjung),ꤲ,nga,[ŋa],
ꤿ,ya,[ja],
ꥃ,ngga,[ŋga],
ꥇꤰ,ki,[ki],
(kaluan),ꥏꤰ,kang,[kaŋ],
(katulung),ꤹ,ca,[ca],
ꤽ,ra,[ra],
ꥄ,nda,[nda],
ꥉꤰ,ké,[ke],
(kamica),ꥐꤰ,kan,[kan],
(duo deatas),ꤺ,ja,[ɟa],
ꤾ,la,[la],
ꥅ,nyja,[ɲɟa],
ꥋꤰ,ko,[ko],
꥓ꤰ,virama,(mutes ,inherent,vowel),ꤳ,ta,[ta],
ꥀ,wa,[wa],
ꥌꤰ,kau,[kau],
(katulung),꥟,section,mark,ꤴ,da,[da],
ꤼ,sa,[sa],
ꥍꤰ,keu/ke,ꤶ,pa,[pa],
ꥁ,ha,[ha],
ꤰꥍ,këa/kah,[kea],
(kajina),ꤷ,ba,[ba],
ꥆ,a,[a],
ꤰꥒ,ka'/kak,
