𐌰,𐌰𐌷𐍃𐌰,ahsa,a,[a/aː],
𐌹,𐌴𐌹𐍃,eis,i,[i/iː],
𐍂,𐍂𐌰𐌹𐌳𐌰,raida,r,[r],
𐌰𐌻𐌻𐌰𐌹 𐌼𐌰𐌽𐌽𐌰 𐍆𐍂𐌴𐌹𐌷𐌰𐌻𐍃 𐌾𐌰𐌷 𐍃𐌰𐌼𐌰𐌻𐌴𐌹𐌺𐍉 𐌹𐌽 𐍅𐌰𐌹𐍂𐌸𐌹𐌳𐌰𐌹 𐌾𐌰𐌷 𐍂𐌰𐌹𐌷𐍄𐌴𐌹𐍃 𐍅𐌰𐌿𐍂𐌸𐌰𐌽𐍃. 𐍆𐍂𐌰𐌸𐌴𐌹 𐌾𐌰𐌷 𐌼𐌹𐌸𐍅𐌹𐍃𐍃𐌴𐌹 𐌲𐌹𐌱𐌽𐌰𐌽𐍃 𐌾𐌰𐌷 𐌻𐌹𐌱𐌰𐌽𐌳𐌰𐌿 𐍃𐍅𐌴 𐌱𐍂𐍉𐌸𐍂𐌾𐌿𐍃.,Translieration,Allái manna freihals jah samaleikō in waírþidái jah raihteis waúrþans. Fraþei jah miþwissei gibnans jah libandau swē broþrjus.,𐌱,𐌱𐌰𐌹𐍂𐌺𐌰𐌽,bairkan,b,[b/v],
𐌺,𐌺𐌿𐍃𐌼𐌰,kusma,k,[k],
𐍃,𐍃𐌰𐌿𐌹𐌻,sauil,s,[s],
𐌲,𐌲𐌹𐌱𐌰,giba,g,[g/ŋ/x],
𐌻,𐌻𐌰𐌲𐌿𐍃,lagus,l,[l],
𐍄,𐍄𐌴𐌹𐍅𐍃,teiws,t,[t],
𐌳,𐌳𐌰𐌲𐍃,dags,d,[d/ð],
𐌼,𐌼𐌰𐌽𐌽𐌰,manna,m,[m],
𐍅,𐍅𐌹𐌽𐌾𐌰,winja,w,[w/y],
𐌴,𐌰𐌹𐍈𐌿𐍃,aihvus,e,[e/eː],
𐌽,𐌽𐌰𐌿𐌸𐍃,nauths,n,[n],
𐍆,𐍆𐌰𐌹𐌷𐌿,faihu,f,[f],
𐌵,𐌵𐌰𐌹𐍂𐌸𐍂𐌰,qairthra,q,[kʷ],
𐌾,𐌾𐌴𐍂,jer,j,[j],
𐍇,𐌹𐌲𐌲𐍅𐍃,iggws,x,[kʰ],
𐌶,𐌹𐌿𐌾𐌰,iuja,z,[z],
𐌿,𐌿𐍂𐌿𐍃,urus,u,[u/uː],
𐍈,𐍈𐌰𐌹𐍂,hwair,ƕ,[ʍ],
𐌷,𐌷𐌰𐌲𐌻,hagl,h,[h/x],
𐍀,𐍀𐌰𐌹𐍂𐌸𐍂𐌰,pairthra,p,[p],
𐍉,𐍉𐌸𐌰𐌻,othal,o,[o/oː],
𐌸,𐌸𐌹𐌿𐌸,thiuth,þ,[θ],
𐍁,𐍊,
