A a,А а,[a],
E e,Э э,[ɛ],
Ł ł,Л л,[l],
Š š,Ш ш,[ʃ],
B b,Б б,[b],
F f,Ф ф,[f],
M m,М м,[m],
T t,Т т,[t],
C c,Ц ц,[t͡s],
G g,Ґ ґ,[g~ɟ],
N n,Н н, [n],
U u,У у,[u],
Ć ć,Ць ць,[t͡ɕ],
H h,Г г,[ɣ~ʝ],
Ń ń,Нь нь,[ɲ],
Ŭ ŭ,Ў ў,[u̯],
Č č,Ч ч,[t͡ʃ],
Ch ch,Х х,[x~ç],
O o,О о,[ɔ],
V v,В в,[v],
D d,Д д,[d],
I i,І і,[i/ʲ],
P p,П п,[p],
Y y,Ы ы,[ɨ],
Dz dz,Дз дз,[d͡z],
J j,Й й/ь,[j],
R r,Р р,[r],
Z z,З з,[z],
Dź dź,Дзь дзь,[d͡ʑ],
K k,К к, [k~c],
S s,С с,[s],
Ź ź,Зь зь,[ʑ],
Dž dž,Дж дж,[d͡ʒ],
L l,Ль ль,[ʎ],
Ś ś,Сь сь,[ɕ],
Ž ž,Ж ж,[ʒ],

