अ,a,[ ʌ ],
क,k,[ k ],
ज,j,[ ʤ ],
ण,ṇ,[ ɳ ],
भ,bh,[ bʱ ],
ह,h,[ ɦ ],
आ,ा,ā,[ɑː~aː],
क्ष,kṣ,[ kx ],
ज़,z,[ z ],
त,t,[ t̪ ],
म,m,[ m ],
ं,anusvara,[˜, ŋ, ɲ, ɳ, m],
इ,ि,i,[ ɪ ],
क़,ḳ,[ q ],
झ,jh,[ ʤʱ ],
थ,th,[ t̪ʰ ],
य,y,[ j ],
ई,ी,ī,[ iː ],
ख,kh,[ kʰ ],
ञ,ñ,[ ɲ ],
द,d,[ d̪ ],
,ya,[ jʌ ],
ः,visarga,[ ḥ ],
उ,ु,u,[ ʊ ],
ग,g,[ g ],
ट,ṭ,[ ʈ ],
ध,dh,[ d̪ʱ ],
र,r,[ ɾ ],
ऊ,ू,ū,[ uː ],
ग़,ġ,[ ɣ ],
ठ,ṭh,[ ʈʰ ],
न,n,[ n ],
ल,l,[ l ],
्,viram,mutes inherent,vowel,ए,े,e,[ eː ],
घ,gh,[ gʰ ],
ड,ḍ,[ ɖ ],
प,p,[ p ],
व,v,[ ʋ ],
ऐ,ै,ai/ē,[æː~ɛː],
ङ,ng,[ ŋ ],
ड़,ṛ,[ ɽ ],
फ,ph,[ pʰ ],
श,ś,[ ʃ ],
ओ,ो,o,[ oː ],
च,c,[ ʧ ],
ढ,ḍh,[ ɖʰ ],
फ़,f,[ f ],
ष,ṣ,[ x ],
औ,ौ,au/ō,[ ɔː ],
छ,ch,[ ʧʰ ],
ढ़,ṛh,[ ɽʰ ],
ब,b,[ b ],
स,s,[ s ],

