A a,[ɑˑ],
[ɑˑ],
gx,[ᵍ̊ǁ],
N n,[ˑene],
[n],
sh,[ʃ],
B b,[biˑ],
[b],
H h,[ˑheʧe],
[h],
nc,[ᵑ̊ǀ],
T t,[tiˑ],
[t],
bh,[ɓ],
hh,[ɦ],
ng,[ŋg],
th,[th],
Ch ch,[ǀ],
hl,[ɬ],
nq,[ᵑ̊ǃ],
ts,[tsʰ],
D d,[ɗiˑ],
[ɗ],
I i,[iˑ],
[i],
nx,[ᵑ̊ǁ],
tsh,[ʧh],
dl,[ɮ],
J j,[ʄeˑ],
[ʄ],
ny,[ɲ],
U u,[uˑ],
[u],
E e,[eˑ],
[e],
K k,[keˑ],
[k],
O o,[ɔˑ],
[ɔ],
V v,[viˑ],
[v],
F f,[ˑefe],
[f],
kh,[kh],
P p,[piˑ],
[p],
W w,[wiˑ],
[w],
G g,[ɠiˑ],
[ɠ],
kl,[kɬ],
ph,[ph],
Xh xh,[ǁ],
gc,[ᵍ̊ǀ],
L l,[ˑele],
[l],
Qh qh,[ǃ],
Y y,[jeˑ],
[j],
gq,[ᵍ̊ǃ],
M m,[ˑeme],
[m],
S s,[ˑese],
[s],
Z z,[zeˑ],
[z],

