b,[p],
j,[tɕ],
ngv,[ŋʷ],
t,[tʰ],
a,[a],
an,[an],
oi,[oi],
ood,[ot],
eed,[et],
iu,[iu],
uam,[uəm],
ud,[ut],
en,[ɯn],
l/q,[˨˦],
by,[pʲ],
k,[kʰ],
ny,[ɲ],
v,[v],
aai,[aːi],
aang,[aːŋ],
oom,[om],
od,[ɔt],
eeg,[ek],
im,[im],
uan,[uən],
ug,[uk],
eng,[ɯŋ],
z,[˩],
c,[tsʰ],
l,[l],
p,[pʰ],
x,[ɕ],
ai,[ai],
ang,[aŋ],
om,[ɔm],
og,[ɔk],
i,[i],
in,[in],
uang,[uəŋ],
e,[ɯ],
ed,[ɯt],
c/j,[˥˧],
d,[t],
m,[m],
q,[tɕʰ],
y,[j],
aau,[aːu],
aab,[aːp],
oon,[on],
ee,[e],
ie,[iə],
ing,[iŋ],
uab,[uəp],
ei,[ɯi],
eg,[ɯk],
x/f,[˧˩],
f,[f],
mb,[ɓ],
qv,[ˀv],
z,[ts],
au,[au],
ab,[ap],
on,[ɔn],
eeu,[eu],
iam,[iəm],
ib,[ip],
uad,[uət],
ea,[ɯə],
s,[˧˥],
g,[k],
my,[mʲ],
qy,[ˀj],
ae,[aɯ],
aad,[aːt],
oong,[oŋ],
eem,[em],
ian,[iən],
id,[it],
um,[um],
eam,[ɯəm],
h/y,[˧],
gv,[kʷ],
n,[n],
r,[z],
aam,[aːm],
ad,[at],
ong,[ɔŋ],
een,[en],
iang,[iəŋ],
ig,[ik],
un,[un],
eang,[ɯəŋ],
t,[˧˥],
h,[x],
nd,[ɗ],
s,[s],
am,[am],
ag,[ak],
oob,[op],
eeng,[eŋ],
iab,[iəp],
u,[u],
ung,[uŋ],
eab,[ɯəp],
-,[˧],
hr,[ɣ],
ng,[ŋ],
sl,[ɬ],
aan,[aːn],
o,[o],
ob,[ɔp],
eeb,[ep],
iad,[iət],
ue,[ue],
ub,[up],
ead,[ɯət],

