A a,[a],
Əw əw,[əw],
K̓ k̓,[kˀ],
ƛ̓ ƛ̓,[tɬˀ],
P̓ p̓,[pˀ],
Θ θ,[θ],
X x ,[x],
Æ æ,[æ],
Əy əy,[əj],
Kʷ kʷ,[kʷ],
M m,[m],
Q q,[q],
Tᶿ tᶿ,[tθ],
Xʷ xʷ,[xʷ],
Aw aw,[aw],
G g,[g],
K̓ʷ k̓ʷ,[kʷˀ],
M̓ m̓,[mˀ],
Q̓ q̓,[qˀ],
T̓ᶿ t̓ᶿ,[tθˀ],
Y y,[j],
Ay ay,[aj],
Gʸ gʸ,[gʲ],
Kʸ kʸ,[kʲ],
N n,[n],
Qʷ qʷ,[qʷ],
U u,[u],
Y̓ y̓,[jˀ],
Č č,[tʃ],
H h,[h],
K̓ʸ k̓ʸ,[kʲˀ],
N̓ n̓,[nˀ],
Q̓ʷ q̓ʷ,[qʷˀ],
Ʊ ʊ,[ʊ],
ʔ,[ʔ],
Č̓ č̓,[tʃˀ],
I i,[i],
L l,[l],
O o,[o],
S s,[s],
W w,[w],
E e,[e],
Ɩ ɩ,[ɪ],
L̓ l̓,[lˀ],
Ɔ ɔ,[ɔ],
Š š,[ʃ],
W̓ w̓,[wˀ],
Ɛ ɛ,[ɛ],
J̌ ǰ,[d͡ʒ],
Ł ɬ,[ɬ],
Ɔy ɔy,[ɔj],
T t,[t],
Χ χ,[χ],
Ə ə,[ə],
K k,[k],
ƛ ƛ,[tɬ],
P p,[p],
T̓ t̓,[tˀ],
Χʷ χʷ,[χʷ],

