b,b,b,[b],
kh,kh,kh,[kʰ],
kx’,kg,kx,[kx’],
h,h,h,[h],
ǀ,c,ǀ,[ǀ],
gǃ,gq,gǃ,[ᶢǃ],
ǃx’,cq’,ǃx,[ǃʜ],
gǂx’,dçg’,gǂx,[ᶢǂʢ] ,
ǁx,cx,ǁx,[ǁᵡ] ,
ã,â,an,[ã] ,
p,p,p,[p],
ts,ts,ts,[ts],
dx,dg,dx,[dʶ],
r,r,r,[ɽ],
gǀh,dch,gǀh,[ᶢǀʱ],
ǃ,q,ǃ,[ǃ],
gǂ,gç,gǂ,[ᶢǂ] ,
ǂx’,çg’,ǂk,[ǂʜ] ,
gǁx’,dxg’,gǁx,[ᶢǁʢ] ,
õ,ô,on,[õ] ,
bh,bh,bh,[bʱ],
dsh,dsh,dsh,[dsʱ],
tx,tg,tx,[tᵡ],
m,m,m,[m],
ǀh,ch,ǀh,[ǀʰ],
gǃh,dqh,gǃh,[ᶢǃʱ],
ǂ,ç,ǂ,[ǂ] ,
gǁ,gx,gǁ,[ᶢǁ] ,
ǁx’,cx’,ǁx,[ǁʜ] ,
ũ,û,un,[ũ] ,
ph,ph,ph,[pʰ],
tsh,tsh,tsh,[tsʰ],
tx’,tg’,tk,[tʜ],
n,n,n,[n],
ǀ’,c’,ǀ’,[ǀˀ],
ǃh,qh,ǃh,[ǃʰ],
gǂh,dçh,gǂh,[ᶢǂʱ] ,
ǁ,x,ǁ,[ǁ] ,
i,i,i,[i] ,
ã̭,â̹,aqn,[ãˤ] ,
d,d,d,[d],
ds’,ds’,ds,[ds’],
dzx,-,dzx,[dzʶ],
m,m,m,[m̩],
ǀ’h,c’h,ǀ’h,[ᵑ̊ǀʰ],
ǃ’,q’,ǃ’,[ǃˀ],
ǂh,çh,ǂh,[ǂʰ] ,
gǁh,—,gǁh,[ᶢǁʱ] ,
e,e,e,[e] ,
õ̭,ô̹,oqn,[õˤ],
t,t,t,[t],
ts’,ts’,tz,[ts’],
dx,djg,djx,[dʒʶ],
ng,ng,ng,[ŋ̍],
nǀ,nc,nǀ,[ᵑǀ],
ǃ’h,q’h,ǃ’h,[ᵑ̊ǃʰ],
ǂ’,ç’,ǂ’,[ǂˀ] ,
ǁh,xh,ǁh,[ǁʰ] ,
a,a/e,a,[a, ə] ,
dh,dh,dh,[dʱ],
tš,tj,tc,[tʃ],
z,z,z,[z],
m̭,m̭,mq,[m̰],
nǀ’h,nch,nǀh,[ᵑǀʱ],
nǃ,nq,nǃ,[ᵑǃ],
ǂ’h,ç’h,ǂ’h,[ᵑ̊ǂʰ] ,
ǁ’,x’,ǁ’,[ǁˀ] ,
o,o,o,[o] ,
th,th,th,[tʰ],
dšh,djh,dch,[dʃʱ],
s,s,s,[s],
mh,mh,mh,[m̤],
gǀx,dcg,gǀx,[ᶢǀʶ],
nǃ’h,nqh,nǃh,[ᵑǃʱ],
nǂ,nç,nǂ,[ᵑǂ] ,
ǁ’h,x’h,ǁ’h,[ᵑ̊ǁʰ] ,
u,u,u,[u] ,
g,gh,g,[g],
tšh,tjh,tch,[tʃʰ],
ž,zj,j,[ʒ],
y,y,y,[j],
ǀx,cg,ǀx,[ǀᵡ],
gǃx,dqg,gǃx,[ᶢǃʶ],
nǂ’h  ,nçh,nǂh  ,[ᵑǂʱ] ,
nǁ,nx,nǁ,[ᵑǁ] ,
a̭,a̹,aq,[aˤ] ,
k,k,k,[k],
dš’,dj’,dc,[dʃ’],
š,sj,c,[ʃ],
w,w,w,[w],
gǀx’,dcg’,gǀk,[ᶢǀʢ],
ǃx,cq,ǃx,[ǃᵡ],
gǂx,dçg,gǂx,[ᶢǂʶ] ,
nǁ’h,nxh,nǁh,[ᵑǁʱ] ,
o̭,o̹,oq,[oˤ] ,
gh,’gh,gh,[ɡʱ],
tš’,tj’,tj,[tʃ’],
x,g,x,[x],
gǀ,gc,gǀ,[ᶢǀ],
ǀx’,cg’,ǀk,[ǀʜ],
gǃx’,dqg’,gǃx,[ᶢǃʢ],
ǂx,çg,ǂx,[ǂᵡ] ,
gǁx,dxg,gǁx,[ᶢǁʶ] ,
ĩ,î,in,[ĩ] ,

