ح,حے,hey,h,[h],
ذ,ذال,zaal,z,[z],
ض,ضواد,zuad,z,[z],
ل,لام,laam,l,[l],
ﯘ,واٶ پیش,ϣaue,ϣ,ﻱ,موڑا نقاط والا یے,ÿe,ÿ,ج,جيم,jeem,j,[ʤ],
ڈ,ڈال,Daal,D,[d],
ص ,صواد ,suad,s,[s],
گ,گاف,gaaf,g,[g],
ٶ,واٶ ھمزہ,ŵaue hamza ,ŵ,ۍ,روم والا ,ўe,ў,ث,ثے,sey,s,[s],
د,دال,daal,d,[d],
ڥ,ڥين,šeen,š,ک,کاف,kaaf,k,[k],
ﻭ,واٶ,waue,w,[w],
ﺉ,یے ھمزہ,ye hamza,y,[ə],
ټ,ټے,ŧey,ŧ,[ʈ],
ځ,ځے,żhey,ż,[ʑ],
ش,شين,şiin,ş,[ʃ],
ڨ,ﻑﺎﭬ,ǭaaf,ǭ,نون اوچے گاف,ŋ,[ŋ],
ی,یے,ye,y,[j],
ٹ,ٹے,Tey,T,[ʈ],
ڂ,ڂے,ċey,ċ,[ɕ],
س,سين,siin,s,[s],
ﻕ,قاف,qaaf,qaaf,[q],
ڼ,ڼون,ɳoom,ɳ,[ɳ],
ۓ,یے ھمزہ,ye hamza,y,ت,تے,tey,t,[t],
ڇ,ڇے,ĉey,ĉ,ڗ,ڗے,źey,ź,ﻑ,فے,fey,f,[f],
ﻦۢ,ﻦۢوم,ňoon,ň,ے,یے,ye,y,[j],
پ,پے,pay,p,[p],
څ,څے,tsey,ts,[ts],
ڷ,ڷے,žey,ž,ڠ,ڠین,ġhain,ġ,ں,نون غنہ,noon ghunnah,n,ء,حمره,hamza,vowel,separator,ب,بے,bay,b,[b],
ۻ,ۻے,çhey,çh,[tʃ],
ژ,ژے,zhey,zh,[ʒ],
غ,غين,ghain,gh,[ɢ],
ن,نون,noon,n,[n],
ۃ,پنڈورو تے,pindoru tey,ٲ,الِف ھمزہ,ålif hamza,å,[ɛ],
چ,چے,chey,ch/č,[ʤ],
ز,زے,zey,z,[z],
ع,عين,ain,a,[ʔ],
مﬞ,میمﬞ,ɱeem,m,ھ,جو غیچھی ھے,ju ghechi hey,indicates,aspiration,آ,الِف (لوٹ),alif (long),aa,[aː],
ڠ,ڠيم,ĵeem,ĵ,[ʒ],
ڑ,ڑے,ŗey,ŗ,ظ ,ظوۓ ,zoey,t,[z],
م,ميم,meem,m,[m],
ه,هے,hey,h,[h],
ا,الِف (څیق),alif (short),a,[a],
خ,خے,khey,kh/x,[x],
ر,رے,rey,r,[ɾ],
ط,طوۓ,toey,t,[t],
ڵ,ڵام,łaam,ł,[lˀ],
ۉ,ﻭاؤ,ῶaue,ῶ,
