a,a/ā,[a/aː],
C,ç/ça,[ç/ça],
𐎱,p/pa,[p/pa],
v,v/va,[ʋ/ʋa],
i,i/ī,[i/iː],
j,j/ja,[ɟ/ɟa],
f,f/fa,[f/fa],
W,vi,[ʋi],
u,u/ū,[u/uː],
J,ji,[ɟi],
𐎲,b/ba,[b/ba],
r,r/ra,[r/ra],
k,k/ka,[k/ka],
t,t/ta,[t/ta],
n,n/na,[n/na],
R,ru,[ru],
K,ku,[ku],
T,tu,[tu],
N,nu,[nu],
l,l/la,[l/la],
x,x/xa,[x/xa],
𐎰,θ/θa,[θ/θa],
m,m/ma,[m/ma],
q,s/sa,[s/sa],
g,g/ga,[g/ga],
d,d/da,[d/da],
M,mi,[mi],
z,z/za,[z/za],
G,gu,[gu],
D,di,[di],
o,mu,[mu],
S,š/ša,[ʃ/ʃa],
c,c/ca,[c/ca],
Ð,du,[du],
y,y/ya,[j/ja],
h,h/ha,[h/ha],
Old Persian Cuneiform,Font: Behistun, Logograms,*,xšāyaθiya,king,¡,būmiš,earth,%$,dahyāuš,country,#,baga,god,&(,Auramazdā,Ahuramazda,),Auramazdāha,Ahuramazdaha
(genitive),𐏑,𐏓𐏒,𐏔𐏒,𐏕𐏔,𐏒,𐏓𐏒𐏑,𐏔𐏒𐏑,𐏐,word divider,𐏒𐏒𐏑,𐏓𐏒𐏒,𐏔𐏒𐏒𐏑,𐏒𐏒𐏒𐏑,𐏓𐏒𐏒𐏑,𐏔𐏒𐏒𐏒,𐏒𐏒𐏒𐏒,𐏓𐏒𐏒𐏒𐏒,𐏔𐏒𐏒𐏒𐏑,𐏒𐏒𐏒𐏒𐏑,𐏓𐏒𐏒𐏒𐏒𐏑,𐏔𐏔,
