ر,راء,rāʾ,r,[r~rˤ],
ﻑ,فاء,fāʾ,f,[f],
ذ,ذال,ḏāl,ḏ,[ð],
ﻍ,غين,ġayn,ġ,[ʁ~ɣ],
ء,همزة,hamza,د,دال,dāl,d,[d],
ع,عين,ʿayn,ʿ,[ʕ~ʢ̰],
ي,ياء,yāʾ,y,[j],
خ,خاء,ḫāʾ,ḫ,[χ~x],
ظ,ظاء,ẓāʾ,ẓ,[ðˤ],
ﻭ,واو,wāw,w,[w],
ح,حاء,ḥāʾ,ḥ,[ħ~ʜ],
ط,طاء,ṭāʾ,ṭ,[tˁ],
ﻩ,هاء,hāʾ,h,[h],
ج,جيم,ǧīm,ǧ,[ʤ~ʒ,
~ɟ~ɡ],ض,ضاد,ḍād,ḍ,[dˁ~zˤ],
ﻥ,نون,nūn,n,[n],
ث,ثاء,ṯāʾ,ṯ,[θ],
ص,صاد,ṣād,ṣ,[sˁ],
ﻡ,ميم,mīm,m,[m],
ت,تاء,tāʾ,t,[t],
ش,شين,šīn,š,[ʃ],
ﻝ,لام,lām,l,[l~ɫ],
ب,باء,bāʾ,b,[b],
س,سين,sīn,s,[s],
ﻙ,كاف,kāf,k,[k],
ا,ألف,ʾalif,ʾ(a),[ʔ],
ز,زاي,zāy,z,[z],
ﻕ,قاف,qāf,q,[q],

