k,ka,[ ka ],
m,ma,[ ma ],
m<,[ m ],
ၵ,ka,[ ka ],
မ,ma,[ ma ],
မ်,[ m ],
x,kha,[ kʰa ],
y,ya,[ ja ],
n<,[ n ],
ၶ,kha,[ kʰa ],
ယ,ya,[ ja ],
ၼ်,[ n ],
N,nga,[ ŋa ],
r,ra,[ ra ],
N<,[ ŋ ],
င,nga,[ ŋa ],
ရ,ra,[ ra ],
င်,[ ŋ ],
c,tsa,[ tɕa ],
l,la,[ la ],
p<,[ p ],
ၸ,tsa,[ tɕa ],
လ,la,[ la ],
ပ်,[ p ],
s,sa,[ sa ],
w,wa,[ wa ],
t<,[ t ],
သ,sa,[ sa ],
ဝ,wa,[ wa ],
တ်,[ t ],
j,nya,[ ɲa ],
h,ha,[ ha ],
k<,[ k ],
ၺ,nya,[ ɲa ],
ႁ,ha,[ ha ],
ၵ်,[ k ],
t,ta,[ ta ],
',a,[ ʔa ],
s!,[ ʃa ],
တ,ta,[ ta ],
ဢ,a,[ ʔa ],
သျ,[ ʃa ],
T,tha,[ tʰa ],
RP,[ pʰra ],
ထ,tha,[ tʰa ],
ၲၽ,[ pʰra ],
n,na,[ na ],
K,ga,[ ga ],
ၼ,na,[ na ],
K,ga,[ ga ],
p,pa,[ pa ],
F,xa,[ θa ],
ပ,pa,[ pa ],
ႀ,xa,[ θa ],
P,pha,[ pʰa ],
d,da,[ da ],
ၽ,pha,[ pʰa ],
ၻ,da,[ da ],
f,fa,[ fa ],
b,ba,[ ba ],
ၾ,fa,[ fa ],
ၿ,ba,[ ba ],

