ح,hā bālūl,h,[h],
ش,čīni,č,[ʧ],
ڢ,fē,f,[f],
ه,hā‘pētel,h,[h],
ط,ṭ,[tˁ~t],
ٛ,o,[o],
ج,jīmi,j,[ʤ],
س,sīni,s,[s],
غ,angani,g,[g],
ن,nūnu,n,[n],
ش,š,[ʃ~s],
ِي,ī,[iː],
ث,ṯamamlu,ṯ,[θ~s],
ز,zayra,z,[z~ʤ],
ع,ayni,-,[ˀ-],
م,mīmi,m,[m],
ء,hamaza,',[ʔ],
رّ,rr,[rˑ],
ِ,i,[i],
ت,tē,t,[t],
ر,arre,r,[ɾ],
ظ,ẓādi,ẓ,[ðˁ~ʤ~z],
ل,lāmu,l,[l],
يٴ,yah mod‘i,y’,[ʔʲ~jˀ],
ند,nd,[ⁿd],
ٜى,ē,[eː],
بٴ,b‘ē moɗu,b’,[ɓ],
ذ,ḏāli,ḏ,[ð~ʤ~z],
ط,d’ādi,d’,[ɗ],
ک,kēfu,k,[k],
ي۟,ña,ñ,[ɲ],
ح,ḥ,[ħ~h],
نغ,ng,[ŋ/ᵑg],
ٜ,e,[e],
ُو,ū,[uː],
ب,bē,b,[b],
د,dēli,d,[d],
ض,bāḍi,ḍ,[dˁ~d],
ق,qāfu,q,[q~χ~g],
ي,jah,y,[j],
نج,nj,[ᶮʤ],
لَا,lā,[laː],
َا,ā,[aː],
ُ,u,[u],
ا,alīfi,-,[ˀ],
خ,ẖā tob’b’ungol,ẖ,[x],
ص,ṣādi,ṣ,[sˁ~s],
ݠ‎,pē,p,[p],
و,wāwu,w,[w],
مب,mb,[ᵐb],
ع,',[ʕ~ʔ],
َ,a,[a],
ٛو,ō,[oː],

