А а,а,a,[a],
Й й,j,[j],
У у,у,u,[ʊ],
Ю ю,ю,ju/iu/u,[ju],
Б б,бэ,b,[b],
К к,кa,k, [k],
Ў ў,ŭ,[w],
Я я,я,ja/ia/a,[jɑ],
В в,вэ,v,[v],
Л л,эл,l,[l],
Ф ф,эф,f,[f],
ʼ,апостраф,Г г,гэ,h,[ɣ],
М м,эм,m,[m],
Х х,хa,ch,[x],
Д д,дэ,d,[d],
Н н,эн,n, [n],
Ц ц,цэ,c,[ts],
дз,dz,[ǳ],
ле,lie,[ʎɛ],
E е,е,je/ie/e,[jɛ],
О о,о,o,[o],
Ч ч,чэ,č,[ʧ],
дзь,dź,[dʑ],
лё,lio,[ʎɒ],
Ё ё,ё,jo/io/o,[jo],
П п,пэ,p,[p],
Ш ш,шa,š,[ʃ],
дж,dž,[ʤ],
лю,liu,[ʎu],
Ж ж,жэ,ž,[ʒ],
Р р,эр,r,[r],
Ы ы,ы,y,[ɨ],
зь,ź,[ʑ],
нь,ń,[ɲ],
З з,зэ,z,[z],
С с,эс,s,[s],
Ь ь,мяккі знак,soft sign,[ʲ],
ль,ĺ,[ʎ],
сь,ś,[ɕ],
І і,і,i,[i],
Т т,тэ,t,[t],
Э э,э,e,[e],
ля,lia,[ʎɑ],
ць,ć,[ʨ],

