خ,خ,xe,x,[x],
ض,ضاد,zâd,z,[z],
ﻝ,لام,lâm,l,[l],
ح,ح,he,h,[h],
ص,صاد,sâd,s,[s],
گ,گاف,gâf,g,[g],
چ,چ,ce,c,[ʧ],
ش,شین,šin,š,[ʃ],
ک,كاف,kâf,k,[k],
ج,جیم,jim,j,[ʤ],
س,سين,sin,s,[s],
ﻕ,قاف,qâf,q,[ɢ/ɣ],
ث,ث,se,s,[s],
ژ,ژ,že,ž,[ʒ],
ﻑ,ف,fe,f,[f],
ی,ی,ye,y/i/â/ey,[j/i/ɒː/ej],
ت,ت,te,t,[t],
ز,ز,ze,z,[z],
ﻍ,غين,ǧeyn,ǧ,[ɢ/ɣ],
ﻩ,ه,he,h/-/e/a,[h/Ø/e/æ],
پ,پ,pe,p,[p],
ر,ر,re,r,[r],
ع,عين,eyn,‘,[ʔ/Ø],
ﻭ,واو,vâv,v/o/u/ow,[v/uː/o/ow],
ب,ب,be,b,[b],
ذ,ذال,zâl,z,[z],
ظ,ظا,zâ,z,[z],
ﻥ,نون,nun,n,[n],
آ/ا,الف,alef,­/‘/â,[ʔ/Ø/æ/ɒː],
د,دال,dâl,d,[d],
ط,ظا,tâ,t,[t],
ﻡ,ميم,mim,m,[m],

