ح,حَا بَالُول,haa baaluul,h,[h],
ش,شِينِ,ciini,c,[ʧ/ʃ/s],
ڢ,ڢٜٮٰ,fee,f,[f],
نغ,نُونَ عٜ عَنغَنِ,nuunu e angani,ŋ,[ŋ],
ّ,سِددٜرٜ,siddere,ج,جِيمِ,jiimi,j,[ʤ],
س,سِينِ,siini,s,[s],
غ,عَنغَنِ,angani,g,[g],
ن,نُونُ,nuunu,n,[n],
ء,هَمَزَ,hamaza,',[ʔ],
ْ,هٛودٜ/هٛوندٜ,howde / hownde,ث,ثَمَملُ,camamlu,th,[θ/ʧ/ʃ/s],
ز,زَيرَ,zayra,j,[z/ʤ],
ع,عَينِ,ayni,',[ʔ],
م,مِيمِ,miimi,m,[m],
ي۟,يَ۟,ña,ñ,[ɲ],
رّ,rr,[r],
ُ,تُرنطٜ/توٛ تُرِ,turnɗe / 
too turi,u,[u],
ُو,تُرنطٜ عُو,turnɗe uu,uu,[uː],
ت,تٜٮٰ,tee,t,[t],
ر,عَرّٜ,arre,r,[r/ɾ],
ظ,ظَادِ,zaadi,j/z,[ðˁ/z/ʤ],
ل,لَامُ,laamu,l,[l],
يٴ,يٴَه مٛطُ,ƴah moɗu,ƴ,[ʔʲ],
نج,nj,[nʤ],
ٛ,تُرنطٜ عٛ/عٜسوٛدٜ,turnɗe o / esoode,o,[o],
ٛو,تُرنطٜ عٛو,turnɗe oo,oo,[oː],
بٴ,بٔٮٰ مٛطُ,ɓee moɗu,ɓ,[ɓ],
ذ,ذَالِ,zaali,j/z,[ð/z/ʤ],
ط,طَادِ,ɗaadi,ɗ,[ɗ],
ک,کٜٮٰڢُ,keefu,k,[k],
ي,يَه,yah,y,[j],
نْغ,ng,[ŋg],
ِ,مَاسِ لٜس,maasi les,i,[i],
ِي,مَاسِ لٜس عِي,maasi les ii,ii,[iː],
ب,بٜٮٰ,bee,b,[b],
د,دٜٮٰلِ,deeli,d,[d],
ض,بَادِ,baadi,d,[d],
ق,قَاڢُ,gaafu,k/g,[k/g],
و,وَاوُ,waawu,w,[w],
ند,nd,[nd],
ٜ,يَمَلٜٮٰرٜ,yamaleere,e,[e],
ٜٮٰ,يَمَلٜٮٰرٜ بٜٮٰ َلِيڢِ بٛدٜٮٰوٛل,yamaleere bee aliifi bodeewol,ee,[eː],
ا,اَلِيڢِ,aliifi,aa/',[aː/ʔ],
خ,خَا تٛبٔبٴُنغٛل,khaa toɓɓungol,kh,[x],
ص,صَادِ,saadi,s,[sˁ/s],
ݠ‎,ݠ‎ٜٮٰ,pee,p,[p],
ه,هَکَبٜٮٰرٜ,hakabeere,h,[h],
مب,mb,[mb],
َ,مَاسِ دٛو,maasi dow,a,[a],
َا,اَلِيڢِ بَلٜوٛل/بٛدٜٮٰوٛل,aliifi balewol / bodeewol,aa,[aː],

