B b,bá,[b],
Z z,ze,[z],
T t,tú,[t],
A a,nem-á,[a],
Á á,á,[aː],
Ź ź,źí,[ʒ],
Ŧ ŧ,ŧí,[ʈ],
I i,nem-í,[ɪ],
P p,pá,[p],
Ģ ģ,ģo,[ɣ],
R r,rí,[r],
U u,nem-ú,[ʊ],
Í í,í,[iː],
F f,fí,[f],
Ŕ ŕ,ŕe,[ɽ],
Ń ń,elo-n,[ɳ],
S s,sá,[s],
Ú ú,ú,[uː],
D d,de,[d],
Ļ ļ,elo-l,[ɬ],
Y y,yá,[j],
M m,mo,[m],
O o,o,[oː],
Ş ş,şá,[ʃ],
N n,ní,[n],
Đ đ,ðe,[ɖ],
V v,vá,[v],
L l,lí,[l],
H h,he,[h],
X x,xo,[x],
G g,go,[g],
J j,jí,[dʒ],
E e,e,[eː],
C c,cá,[tʃ],
K k,ke,[k],
Bráhuí,Brahui,Brahui Roman Likvar,Bráhuí ná báşágl,خ,x,[x],
ص,s,[s],
ل,l,[l],
ح,h,[h],
ش,ş,[ʃ],
گ,g,[g],
ء,’,[ʔ],
چ,c,[tʃ],
س,s,[s],
ک,k,[k],
ے,e,[eː],
ج,j,[dʒ],
ژ,ź,[ʒ],
ق,k,[k],
ى,y/í,[j/iː],
ث,s,[s],
ز,z,[z],
ف,f,[f],
ه,h,[h],
ُو,ú,[uː],
ٹ,ŧ,[ʈ],
ڑ,ŕ,[ɽ],
غ,ģ,[ɣ],
و,v/ú/o,[v/uː/oː],
ُ,u,[ʊ],
ت,t,[t],
ر,r,[r],
ع,’,[ʔ],
ں,ń,[ɳ],
ِى,í,[iː],
پ,p,[p],
ذ,z,[z],
ظ,z,[z],
ن,n,[n],
ِ,i,[ɪ],
ب,b,[b],
ڈ,đ,[ɖ],
ط,t,[t],
م,m,[m],
َا,آ,á,[aː],

