A a,a,[a~ɑ],
G g,gë,[g],
Ll ll,llë,[ɣ],
S s,së,[s],
Z z,zë,[z],
Α α,a,[a~ɑ],
Ζ ζ,zë,[z],
Λ̇ λ̇,ljë,[ʎ],
Σ̈ σ̈,shë,[ʃ],
DΣ dσ,xë,[dz],
B b,bë,[b],
Gj gj,gjë,[gʲ],
M m,më,[m],
Sh sh,shë,[ʃ],
Zh zh,zhë,[ʒ],
Β β,vë,[v],
Ż ζ̇,zhë,[ʒ],
Μ μ,më,[m],
Τ τ,të,[t],
DΣ̈ dσ̈,xhë,[ʤ],
C c,cë,[ts],
H h,hë, [x],
N n,në,[n],
T t,të,[t],
Ƃ ƅ,bë,[b],
Θ θ,thë,[θ],
Ν ν,në,[n],
Ȣ ȣ,u,[u],
Ç ç,çë,[ʧ],
Hj hj,hjë, [x],
ǋ ǌ,një,[ɲ],
Th th,thë,[θ],
Γ γ,gë,[g],
Ι ι,i,[i],
Ν̇ ν̇,një,[ɲ],
Υ υ,y,[y],
D d,dë,[d],
I i,i,[i],
O o,o,[ɔ],
U u,u,[u],
Γj γj,gjë,[ɟ],
J j,jë,[j],
Ο ο,o,[ɔ],
Φ φ,fë,[f],
Dh dh,dhë,[ð],
J j,jë,[j],
P p,pë,[p],
V v,vë,[v],
Δ δ,dhë,[ð],
Κ κ,kë, [k],
Π π,pë,[p],
Χ χ,hë,[x],
E e,e,[ɛ],
K k,kë, [k],
Q q,që,[c],
X x,xë,[dz],
D d,dë,[d],
Κ̇ κ̇,që, [c],
Ρ ρ,rë,[ɾ],
Χ̇ χ̇,hjë,[xʲ],
Ë ë,ë,[ə~ʊ̣],
L l,lë,[l],
R r,rë,[ɾ],
Xh xh,xhë,[ʤ],
Ε ε,e,[e],
Λ λ,lë,[l],
Ρ̇ ρ̇,rrë,[r(ˑ)],
ΤΣ τσ,cë,[ts],
F f,fë,[f],
LJ lj,ljë,[ʎ],
Rr rr,rrë,[r(ˑ)],
Y y,y,[y],
Ε̱ ε̱,ë,[ə~ʊ̣],
ΛΛ λλ,llë,[ɣ],
Σ σ,së,[s],
ΤΣ̈ τσ̈,çë,[ʧ],

