А, [aˑ]
a, [a~ɐ]
З, [zeˑ]
z, [z]
М, [em]
m, [m]
Ф, [ef]
f, [f]
ШӀ, [ʃ’aˑ]
š’, [ʃ’]
Б, [beˑ]
b, [b]
И, [iˑ]
i, [i]
Н, [en]
n, [n]
Х, [χaˑ]
x, [χ]
Щ, [ʃːaˑ]
šš, [ʃː]
В, [veˑ]
v, [v]
Й, [jiˑ]
j, [j]
О, [oˑ]
o, [o]
ХЪ, [qʿaˑ]
q, [qʿ]
Ъ, [jer]
’, [ʔ]
Г, [geˑ]
g, [g]
К, [kʰaˑ]
k, [kʰ]
П, [pʿeˑ]
p, [pʿ]
ХЬ, [xaˑ]
ẋ, [x]
Э, [eˑ]
e-, [e]
ГЪ, [ʁaˑ]
ğ, [ʁ]
КЪ, [q͈’ːaˑ]
q’, [q’~qχ’]
Р, [er]
r, [r]
ХӀ, [ħaˑ]
ḥ, [ħ]
Ю, [juˑ]
ju, [ju]
ГЬ, [heˑ]
h, [h]
КЬ, [kɬ̮’ːaˑ]
tł’, [kɬ̮’ː~tɬ̮’ː]
С, [es]
s, [s]
Ц, [ʦʿeˑ]
c, [ʦʿ]
Я, [jaˑ]
ja, [ja]
Д, [deˑ]
d, [d]
КӀ, [k’aˑ]
k’, [k’]
СӀ, [es’]
s’, [s’]
ЦӀ, [ʦ’eˑ]
c’, [ʦ’]
дж, [ʤ]
Л, [el]
l, [l]
Т, [tʿeˑ]
t, [tʿ]
Ч, [ʧʿeˑ]
č, [ʧʿ]
Е, [jeˑ]
je, [e/je]
ЛЪ, [eɬ]
ł, [ɬ]
ТӀ, [t’eˑ]
t’, [t’]
ЧӀ, [ʧ’eˑ]
č’, [ʧ’]
Ж, [ʒeˑ]
ž, [ʒ]
ЛӀ, [kɬ̮ʿːaˑ]
tł, [kɬ̮ʿː~tɬ̮ʿː]
У, [uˑ]
u, [u]
Ш, [ʃaˑ]
š, [ʃ]
