А, [ɑ]
Д, [d]
К, [kʰ]
П, [pʰ]
УЬ, [y]
Ч, [ʧʰ]
Ю, [ju]
аӀ, [ɑˤ]
cc, [sː]
ччв, [ʧʷː]
Б, [b]
Дж, [ʤ]
Къ, [qː]
ПӀ, [p’]
Ф, [f]
ЧӀ, [ʧ’]
Я, [jɑ]
аь, [æ]
фф, [fː]
чӀв, [ʧ’ʷ]
В, [v]
Е, [e/je]
Кь, [q’]
Р, [r]
Х, [χ]
Ш, [ʃ]
дз, [ʣ]
хх, [χː]
шв, [ʃʷ]
Г, [g]
Ё, [jɔ]
КӀ, [k’]
С, [s]
Хъ, [qʰ]
Щ, [ʃː]
джв, [ʤʷ]
хъхъ, [qː]
щв, [ʃʷː]
Гъ, [ʁ]
Ж, [ʒ]
Л, [l]
Т, [tʰ]
Хь, [x]
ъ, [ʔ]
жв, [ʒʷ]
хьхь, [xː]
Гь, [ɦ]
З, [z]
М, [m]
Тт, [tː]
ХӀ, [ħ]
Ы, [ɨ]
кк, [kː]
цц, [ʦː]
ГьӀ, [ʡ~ʁˤ]
И, [i]
Н, [n]
ТӀ, [t’]
Ц, [ʦʰ]
ь, [j]
оь, [ø]
чв, [ʧʷ]
ГӀ, [ʕ]
Й, [j]
О, [ɔ]
У, [u]
ЦӀ, [ʦ’]
Э, [e]
пп, [pː]
чч, [ʧː]
