A, [ɑˑ]
[ɑˑ], [ɑˑ]
gx, [ᵍ̊ǁ]
N, [ˑene]
[n], [n]
sh, [ʃ]
B, [biˑ]
[b], [b]
H, [ˑheʧe]
[h], [h]
nc, [ᵑ̊ǀ]
T, [tiˑ]
[t], [t]
bh, [ɓ]
hh, [ɦ]
ng, [ŋg]
th, [th]
Ch, [ǀ]
hl, [ɬ]
nq, [ᵑ̊ǃ]
ts, [tsʰ]
D, [ɗiˑ]
[ɗ], [ɗ]
I, [iˑ]
[i], [i]
nx, [ᵑ̊ǁ]
tsh, [ʧh]
dl, [ɮ]
J, [ʄeˑ]
[ʄ], [ʄ]
ny, [ɲ]
U, [uˑ]
[u], [u]
E, [eˑ]
[e], [e]
K, [keˑ]
[k], [k]
O, [ɔˑ]
[ɔ], [ɔ]
V, [viˑ]
[v], [v]
F, [ˑefe]
[f], [f]
kh, [kh]
P, [piˑ]
[p], [p]
W, [wiˑ]
[w], [w]
G, [ɠiˑ]
[ɠ], [ɠ]
kl, [kɬ]
ph, [ph]
Xh, [ǁ]
gc, [ᵍ̊ǀ]
L, [ˑele]
[l], [l]
Qh, [ǃ]
Y, [jeˑ]
[j], [j]
gq, [ᵍ̊ǃ]
M, [ˑeme]
[m], [m]
S, [ˑese]
[s], [s]
Z, [zeˑ]
[z], [z]
