1Gf^,tinco,t,[t],
3~Mj$,súle,s,[s],
5~Mt$5,númen,n,[n],
7Yt$5,romen,r,[r],
9CÍt$5,hyamen,hy,[j/ç],
q,qE7t#,parma,p,[p],
e,eH7t5,formen,f,[f],
t,t#j1E,malta,m,[m],
u,`CuE,arda,rd,[rd],
o,oR+1E iT2#7Tb#,hwesta sindarinwa,hw,[w̥/hʷ],
a,aEjt#,calma,c,[k],
d,dE7t#,harma,ch,[x],
g,gYmH,ngoldo,n,[n],
j,j#w$,lambe,l,[l],
l,lE51E,yanta,i,[i],
z,zFiF;,quesse,qu,[kʷ],
c,oR+1E ,hwesta,hw,[xʷ],
b,b#jt$,ngwalme,nw,[nʷ],
m,`Cm#,alda,ld,[ld],
.,~M.F,úre,u,[u],
`C2Y,ando,nd,[nd],
`C4Y,anto,nt,[nt],
`N6F,ore,r,[r],
iFt$,silme,s,[s],
],]V,R;,osse,w,`Mw#7,umbar,mb,[mb],
r,`Cr#,ampa,mp,[mp],
y,yEj#,vala,v,[v],
i,iFt$ 5&zF75#,silme nuquerna,s,[s],
½,9Cj°#,halla,h,[h],
s,`Cs#,anga,ng,[ŋg],
f,`Cf#,anca,nc,[ŋk],
h,`C5#:,anna,y,[j],
k,~C,R,áze,z,[z],
`,1FjaH,telco,short vowel,carrier,x,`Mx$,ungwe,ngw,[ŋgʷ],
v,`Mv$,unque,nqu,[ŋkʷ],
n,nTj#´,vilya,v/w,[v/w],
,,~C,R 5&zF75#,áze nuquerna,z,[z],
~,~C7E,ára,long vowel,carrier,
