tinco, [t/tʰ]
thúle, [θ]
númen, [n]
rómen, [r/r̥]
hyarmen, [h]
!, [ʰt]
`C\`Ó\`ß, [a/aː]
~C\~ß, [au/auː]
.E, [øy]
q, [p/pʰ]
e, [f/v]
t, [m]
u, [t̥l]
o, o
sindarinwa, [ʰp]
`V, [ɛ/ɛː]
~V, [jɛ/jɛː]
lF, [ei/eiː]
a, [kʰ/kj]
d, [j]
g, [ŋ/ŋ̊]
j, [l/l̥]
l, [ʰkj/ʰk]
`B\`Ë, [ɪ/ɪː]
~B, [i/iː]
z, [kj/c/cʰ]
c, [ç]
b, [n̥j/n̥]
m, [tl̥]
`N\`ç, [ɔ/ɔː]
N`N\~N, [ou/ouː]
lE, [ai/aiː]
ando, [t]
anto, [ð]
óre, [r]
silme, [s]
½, [h]
`M\`ã, [ʏ/ʏː]
~M\~ã, [u/uː]
w, [p]
r, [v]
y, [s]
`, [ɪ/ɪː]
~×, [ɪ/ɪː]
s, [k/ɣ]
f, [kv]
h, [s]
~, [c]
v, [hv]
n, [s]
~B8jRi[aE, ~B8jRi[aE
Íslenska, Icelandic
