А, [aˑ]
a, [a]
Е, [jeˑ]
je, [e/je]
кк, [kʿ̲ː]
ЛӀ, [kɬ̮ʿːaˑ]
ł̠ł, [kɬ̮ʿː~tɬ̮ʿː]
сс, [sː̲]
ХЬ, [xaˑ]
ẋ, [x]
чӀчӀ, [ʧ’̲ː]
Б, [beˑ]
b, [b]
Ё, [joˑ]
jo, [jo]
КЪ, [q͈χ’ːaˑ]
qq’, [qχ’̲ː~qʾ̲ː]
М, [em]
m, [m]
Т, [tʰeˑ]
t, [tʰ~tʿ]
Ц, [ʦʰeˑ]
c, [ʦʰ~ʦʿ]
Ш, [ʃaˑ]
š, [ʃ]
В, [veˑ]
v\w, [v/-ʷ]
Ж, [ʒeˑ]
ž, [ʒ]
КЪӀ, [qχ’aˑ]
q’, [qχ’~q’]
Н, [en]
n, [n]
ТӀ, [t’eˑ]
t’, [t’]
цц, [ʃːaˑ]
šš, [ʃː̲]
Г, [geˑ]
g, [g]
З, [zeˑ]
z, [z]
КЬ, [kɬ̮’ːaˑ]
ł̠ł’\tł’, [kɬ̮’ː~tɬ̮’ː]
О, [oˑ]
o, [o]
У, [uˑ]
u, [u]
ЦӀ, [ʦ’eˑ]
c’, [ʦ’]
Ъ, [jer]
’, [ʔ]
ГЪ, [ʁeˑ]
ğ, [ʁ]
И, [iˑ]
i, [i]
КӀ, [k’aˑ]
k’, [k’]
П, [pʰeˑ]
p, [pʰ~pʿ]
Ф, [ef]
f, [f]
цӀцӀ, [ʦ’̲ː]
Ы, [jeˈrɨ]
y, [ɨ~ǝ]
ГЬ, [heˑ]
h, [h]
Й, [jiˑ]
j, [j]
кӀкӀ, [k’̲ː]
ПӀ, [p’eˑ]
p’, [p’]
Х, [χaˑ]
x, [χ]
Ч, [ʧʰeˑ]
č, [ʧʰ~ʧʿ]
Э, [eˑ]
e-, [e]
Д, [deˑ]
d, [d]
йо, [jo]
Л, [el]
l, [l]
Р, [er]
r, [r]
хх, [χː̲]
чч, [ʧʿ̲ː]
Ю, [juˑ]
ju, [ju]
дж, [ʤ]
К, [kʰaˑ]
k, [kʰ~kʿ]
ЛЪ, [eɬ͈ː]
ł, [ɬː̲]
С, [es]
s, [s]
ХЪ, [qχaˑ]
q, [qχ~qʿ]
ЧӀ, [ʧ’eˑ]
č’, [ʧ’]
Я, [jaˑ]
ja, [ja]
