A, [a~ɑ]
G, [g]
Ll, [ɣ]
S, [s]
Z, [z]
Α, [a~ɑ]
Ζ, [z]
Λ̇, [ʎ]
Σ̈, [ʃ]
DΣ, [dz]
B, [b]
Gj, [gʲ]
M, [m]
Sh, [ʃ]
Zh, [ʒ]
Β, [v]
Ż, [ʒ]
Μ, [m]
Τ, [t]
DΣ̈, [ʤ]
C, [ts]
H,  [x]
N, [n]
T, [t]
Ƃ, [b]
Θ, [θ]
Ν, [n]
Ȣ, [u]
Ç, [ʧ]
Hj,  [x]
ǋ, [ɲ]
Th, [θ]
Γ, [g]
Ι, [i]
Ν̇, [ɲ]
Υ, [y]
D, [d]
I, [i]
O, [ɔ]
U, [u]
Γj, [ɟ]
J, [j]
Ο, [ɔ]
Φ, [f]
Dh, [ð]
J, [j]
P, [p]
V, [v]
Δ, [ð]
Κ,  [k]
Π, [p]
Χ, [x]
E, [ɛ]
K,  [k]
Q, [c]
X, [dz]
D, [d]
Κ̇,  [c]
Ρ, [ɾ]
Χ̇, [xʲ]
Ë, [ə~ʊ̣]
L, [l]
R, [ɾ]
Xh, [ʤ]
Ε, [e]
Λ, [l]
Ρ̇, [r(ˑ)]
ΤΣ, [ts]
F, [f]
LJ, [ʎ]
Rr, [r(ˑ)]
Y, [y]
Ε̱, [ə~ʊ̣]
ΛΛ, [ɣ]
Σ, [s]
ΤΣ̈, [ʧ]
