А, [a]
Гь, [ɡʲ]
Е, [e]
К, [k]
КӀь, [kʲʼ]
Р, [r]
Х, [x]
ЦӀ, [t͡sʼ]
Щ, [ɕ]
Б, [b]
ГӀ, [ʕ]
Ё, [jo]
Кв, [kʷ]
Л, [l]
С, [s]
Хв, [xʷ]
Ч, [t͡ɕ]
Ъ, [ʔ]
В, [v]
ГӀв, [ʕʷ]
Ж, [ʒ]
Къ, [qʼ]
Ль, [ɮ]
Т, [t]
Хъ, [q]
Чв, [t͡ʃʷ]
Ы, [ə]
Г, [ɡ]
Д, [d]
Жв, [ʒʷ]
Къв, [qʷʼ]
М, [m]
Тл, [ɬ]
Хъв, [qʷ]
ЧӀ, [t͡ɕʼ]
ь, [ʲ]
Гв, [ɡʷ]
Дж, [d͡ʒ]
Жь, [ʑ]
Къь, [qʼʲ]
Н, [n]
Тш, [t͡ʃ]
Хь, [xʲ]
ЧвӀ, [t͡ʃʷʼ]
Э, [e]
Гъ, [ɣ]
Джв, [d͡ʒʷ]
З, [z]
Кь, [kʲ]
О, [o]
ТӀ, [tʼ]
ХӀ, [ħ]
Ш, [ʃ]
Ю, [ju]
Гъв, [ɣʷ]
Джь, [d͡ʑ]
И, [i]
КӀ, [kʼ]
П, [p]
У, [u/w]
ХӀв, [ħʷ]
Шв, [ʃʷ]
Я, [ja]
Гъь, [ɣʲ]
Дз, [d͡z]
Й, [j]
КӀв, [kʷʼ]
ПӀ, [pʼ]
Ф, [f]
Ц, [t͡s]
ШӀ, [t͡ʃʼ]
