ก, [k/k̚]
mid, [ʨʰ/-]
high, [tʰ/t̚]
low, [n/n]
low, [m/m]
low, [h/-]
high, [kʰ/k̚]
high, [ʨʰ/t̚]
low, [tʰ/t̚]
low, [b/p̚]
mid, [j/j]
low, [l/n]
low, [kʰ/k̚]
high, [s/t̚]
low, [n/n]
low, [p/p̚]
mid, [r/n]
low, [-/ʔ]
mid, [kʰ/k̚]
low, [tɕʰ/-]
low, [d/t̚]
mid, [pʰ/-]
high, [l/n]
low, [h/-]
low, [kʰ/k̚]
low, [j/n]
low, [t/t̚]
mid, [f/-]
high, [w/w]
low, [kʰ/k̚]
low, [d/t̚]
mid, [tʰ/t̚]
high, [pʰ/p̚]
low, [s/t̚]
high, [ŋ/ŋ]
low, [t/t]
mid, [tʰ/t̚]
low, [f/p̚]
low, [s/t̚]
high, [ʨ/t̚]
mid, [tʰ/t̚]
high, [tʰ/t̚]
low, [pʰ/p̚]
low, [s/t̚]
high, high
