А, [ a ]
Ѓ, [ dʐ ]
Ӟ, [ ʑ ]
КӀВ, [ kʷ’ ]
ҚӀЪ, [ qˁ’ ]
О, [ o ]
ТВ, [ tʷ ]
Ҳ, [ χ ]
ЧӀ, [ ʧ’ ]
Ь, [ ə ]
Ғ, [ ʁ ]
Е,  e ]
ӞВ, [ ʑʷ ]
КӀЬ, [ kʲ’ ]
ҚӀЪВ, [ qˁʷ’ ]
Ҩ, [ ɔ ]
ТӀ, [ t’ ]
ҲВ, [ χʷ ]
Ҹ, [ ʨ ]
Ӏ, [ ʔ ]
Б, [ b ]
ҒВ, [ ʁʷ ]
Ҽ, [ tʂ ]
И, [ i ]
Қ, [ q ]
ҚӀЬ, [ qʲ’ ]
Ө,  œ ]
ТӀВ, [ tʷ’ ]
ҲЪ, [ χˁ ]
ҸВ, [ ʨʷ ]
БЪ, [ bˁ ]
ҒЪ, [ ʁˁ ]
ҼӀ, [ tʂ’ ]
Й,  ɪ ]
ҚВ, [ qʷ ]
Л, [ l ]
П, [ p ]
У,  w ]
ҲЪВ, [ χˁʷ ]
ҸӀ, [ ʨ’ ]
В, [ v ]
ҒЪВ, [ ʁˁʷ ]
Ѕ, [ ʂ ]
Ј, [ j ]
ҚЪ, [ qˁ ]
Ӆ, [ ɬ ]
Р, [ r ]
УЪ, [ wˁ ]
ҲЬ, [ χʲ ]
ҸӀВ, [ ʨʷ’ ]
ВЪ, [ vˁ ]
ҒЬ, [ ʁʲ ]
Ж, [ ʒ ]
К, [ k ]
ҚЪВ, [ qˁʷ ]
ӅӀ, [ ɬ’ ]
С, [ s ]
Ү,  y ]
Ц, [ ts ]
Шш, [ ʃ ]
Г, [ g ]
Ҕ, [ ɣ ]
ЖВ, [ ʒʷ ]
КВ, [ kʷ ]
ҚЬ, [ qʲ ]
М, [ m ]
Ҫ, [ ɕ ]
Ф, [ f ]
ЦӀ, [ ts’ ]
ШВ, [ ʃʷ ]
ГВ, [ gʷ ]
Д, [ d ]
Ӝ, [ ʐ ]
КЬ, [ kʲ ]
ҚӀ, [ q’ ]
МЪ, [ mˁ ]
ҪВ, [ ɕʷ ]
Һ, [ h ]
Ҵ, [ ʥ ]
Ъ, [ gʲ ]
ДВ, [ dʷ ]
З, [ z ]
КӀ, [ k’ ]
ҚӀВ, [ qʷ’ ]
Н, [ n ]
Т, [ t ]
Х, [ x ]
Чч, [ ʧ ]
Ы,  ɨ ]
ТВaҳəбзa, Twaxəbza
