абаза бызшва, u'\u0430\u0431\u0430\u0437\u0430 \u0431\u044b\u0437\u0448\u0432\u0430', Abaza Bızšva, u'Abaza B\u0131z\u0161va', Abaza, u'Abaza', 
ШӀ шӀ, u'\u0428\u04c0 \u0448\u04c0', шӀы, u'\u0448\u04c0\u044b', š°, u'\u0161\xb0', [t͡ʃʼ], u'[t\u0361\u0283\u02bc]', 
Ц ц, u'\u0426 \u0446', цы, u'\u0446\u044b', c, u'c', [t͡s], u'[t\u0361s]', 
Ф ф, u'\u0424 \u0444', фы, u'\u0444\u044b', f, u'f', [f], u'[f]', 
ПӀ пӀ, u'\u041f\u04c0 \u043f\u04c0', пӀы, u'\u043f\u04c0\u044b', p°, u'p\xb0', [pʼ], u'[p\u02bc]', 
КӀв кӀв, u'\u041a\u04c0\u0432 \u043a\u04c0\u0432', кӀвы, u'\u043a\u04c0\u0432\u044b', k°v, u'k\xb0v', [kʷʼ], u'[k\u02b7\u02bc]', 
Й й, u'\u0419 \u0439', йы, u'\u0439\u044b', y, u'y', [j], u'[j]', 
Дз дз, u'\u0414\u0437 \u0434\u0437', дзы, u'\u0434\u0437\u044b', dz, u'dz', [d͡z], u'[d\u0361z]', 
Гъь гъь, u'\u0413\u044a\u044c \u0433\u044a\u044c', гъьы, u'\u0433\u044a\u044c\u044b', g''', u"g'''", [ɣʲ], u'[\u0263\u02b2]', 
Я я, u'\u042f \u044f', йа, u'\u0439\u0430', ya, u'ya', [ja], u'[ja]', 
Шв шв, u'\u0428\u0432 \u0448\u0432', швы, u'\u0448\u0432\u044b', šv, u'\u0161v', [ʃʷ], u'[\u0283\u02b7]', 
ХӀв хӀв, u'\u0425\u04c0\u0432 \u0445\u04c0\u0432', хӀвы, u'\u0445\u04c0\u0432\u044b', h°v, u'h\xb0v', [ħʷ], u'[\u0127\u02b7]', 
У у, u'\u0423 \u0443', уыc, u'\u0443\u044bc', u, u'u', [u/w], u'[u/w]', 
П п, u'\u041f \u043f', пы, u'\u043f\u044b', p, u'p', [p], u'[p]', 
КӀ кӀ, u'\u041a\u04c0 \u043a\u04c0', кӀы, u'\u043a\u04c0\u044b', k°, u'k\xb0', [kʼ], u'[k\u02bc]', 
И и, u'\u0418 \u0438', и, u'\u0438', i, u'i', [i], u'[i]', 
Джь джь, u'\u0414\u0436\u044c \u0434\u0436\u044c', джьы, u'\u0434\u0436\u044c\u044b', dž', u"d\u017e'", [d͡ʑ], u'[d\u0361\u0291]', 
Гъв гъв, u'\u0413\u044a\u0432 \u0433\u044a\u0432', гъвы, u'\u0433\u044a\u0432\u044b', g''v, u"g''v", [ɣʷ], u'[\u0263\u02b7]', 
Ю ю, u'\u042e \u044e', йу, u'\u0439\u0443', yu, u'yu', [ju], u'[ju]', 
Ш ш, u'\u0428 \u0448', шы, u'\u0448\u044b', š, u'\u0161', [ʃ], u'[\u0283]', 
ХӀ хӀ, u'\u0425\u04c0 \u0445\u04c0', хӀы, u'\u0445\u04c0\u044b', h°, u'h\xb0', [ħ], u'[\u0127]', 
ТӀ тӀ, u'\u0422\u04c0 \u0442\u04c0', тӀы, u'\u0442\u04c0\u044b', t°, u't\xb0', [tʼ], u'[t\u02bc]', 
О о, u'\u041e \u043e', ъоу, u'\u044a\u043e\u0443', o, u'o', [o], u'[o]', 
Кь кь, u'\u041a\u044c \u043a\u044c', кьы, u'\u043a\u044c\u044b', k', u"k'", [kʲ], u'[k\u02b2]', 
З з, u'\u0417 \u0437', зы, u'\u0437\u044b', z, u'z', [z], u'[z]', 
Джв джв, u'\u0414\u0436\u0432 \u0434\u0436\u0432', джвы, u'\u0434\u0436\u0432\u044b', džv, u'd\u017ev', [d͡ʒʷ], u'[d\u0361\u0292\u02b7]', 
Гъ гъ, u'\u0413\u044a \u0433\u044a', гъы, u'\u0433\u044a\u044b', g'', u"g''", [ɣ], u'[\u0263]', 
Э э, u'\u042d \u044d', э, u'\u044d', e, u'e', [e], u'[e]', 
ЧвӀ чвӀ, u'\u0427\u0432\u04c0 \u0447\u0432\u04c0', чвӀы, u'\u0447\u0432\u04c0\u044b', čv°, u'\u010dv\xb0', [t͡ʃʷʼ], u'[t\u0361\u0283\u02b7\u02bc]', 
Хь хь, u'\u0425\u044c \u0445\u044c', хьы, u'\u0445\u044c\u044b', h', u"h'", [xʲ], u'[x\u02b2]', 
Тш тш, u'\u0422\u0448 \u0442\u0448', тшы, u'\u0442\u0448\u044b', tš, u't\u0161', [t͡ʃ], u'[t\u0361\u0283]', 
Н н, u'\u041d \u043d', ны, u'\u043d\u044b', n, u'n', [n], u'[n]', 
Къь къь, u'\u041a\u044a\u044c \u043a\u044a\u044c', къьы, u'\u043a\u044a\u044c\u044b', k''', u"k'''", [qʼʲ], u'[q\u02bc\u02b2]', 
Жь жь, u'\u0416\u044c \u0436\u044c', жьы, u'\u0436\u044c\u044b', ž', u"\u017e'", [ʑ], u'[\u0291]', 
Дж дж, u'\u0414\u0436 \u0434\u0436', джы, u'\u0434\u0436\u044b', dž, u'd\u017e', [d͡ʒ], u'[d\u0361\u0292]', 
Гв гв, u'\u0413\u0432 \u0433\u0432', гвы, u'\u0433\u0432\u044b', gv, u'gv', [ɡʷ], u'[\u0261\u02b7]', 
ь, u'\u044c', ь, u'\u044c', ', u"'", [ʲ], u'[\u02b2]', 
ЧӀ чӀ, u'\u0427\u04c0 \u0447\u04c0', чӀы, u'\u0447\u04c0\u044b', č°, u'\u010d\xb0', [t͡ɕʼ], u'[t\u0361\u0255\u02bc]', 
Хъв хъв, u'\u0425\u044a\u0432 \u0445\u044a\u0432', хъвы, u'\u0445\u044a\u0432\u044b', h''v, u"h''v", [qʷ], u'[q\u02b7]', 
Тл тл, u'\u0422\u043b \u0442\u043b', тлы, u'\u0442\u043b\u044b', tl, u'tl', [ɬ], u'[\u026c]', 
М м, u'\u041c \u043c', мы, u'\u043c\u044b', m, u'm', [m], u'[m]', 
Къв къв, u'\u041a\u044a\u0432 \u043a\u044a\u0432', къвы, u'\u043a\u044a\u0432\u044b', k''v, u"k''v", [qʷʼ], u'[q\u02b7\u02bc]', 
Жв жв, u'\u0416\u0432 \u0436\u0432', жвы, u'\u0436\u0432\u044b', žv, u'\u017ev', [ʒʷ], u'[\u0292\u02b7]', 
Д д, u'\u0414 \u0434', ды, u'\u0434\u044b', d, u'd', [d], u'[d]', 
Г г, u'\u0413 \u0433', гы, u'\u0433\u044b', g, u'g', [ɡ], u'[\u0261]', 
Ы ы, u'\u042b \u044b', ы , u'\u044b ', ı, u'\u0131', [ə], u'[\u0259]', 
Чв чв, u'\u0427\u0432 \u0447\u0432', чвы, u'\u0447\u0432\u044b', čv, u'\u010dv', [t͡ʃʷ], u'[t\u0361\u0283\u02b7]', 
Хъ хъ, u'\u0425\u044a \u0445\u044a', хъы, u'\u0445\u044a\u044b', h'', u"h''", [q], u'[q]', 
Т т, u'\u0422 \u0442', ты, u'\u0442\u044b', t, u't', [t], u'[t]', 
Ль ль, u'\u041b\u044c \u043b\u044c', льы, u'\u043b\u044c\u044b', l, u'l', [ɮ], u'[\u026e]', 
Къ къ, u'\u041a\u044a \u043a\u044a', къы, u'\u043a\u044a\u044b', k'', u"k''", [qʼ], u'[q\u02bc]', 
Ж ж, u'\u0416 \u0436', жы, u'\u0436\u044b', ž, u'\u017e', [ʒ], u'[\u0292]', 
ГӀв гӀв, u'\u0413\u04c0\u0432 \u0433\u04c0\u0432', гӀвы, u'\u0433\u04c0\u0432\u044b', g°v, u'g\xb0v', [ʕʷ], u'[\u0295\u02b7]', 
В в, u'\u0412 \u0432', вы, u'\u0432\u044b', v, u'v', [v], u'[v]', 
Ъ ъ, u'\u042a \u044a', ъы, u'\u044a\u044b', '', u"''", [ʔ], u'[\u0294]', 
Ч ч, u'\u0427 \u0447', чы, u'\u0447\u044b', č, u'\u010d', [t͡ɕ], u'[t\u0361\u0255]', 
Хв хв, u'\u0425\u0432 \u0445\u0432', хвы, u'\u0445\u0432\u044b', hv, u'hv', [xʷ], u'[x\u02b7]', 
С с, u'\u0421 \u0441', сы, u'\u0441\u044b', c, u'c', [s], u'[s]', 
Л л, u'\u041b \u043b', лы, u'\u043b\u044b', l, u'l', [l], u'[l]', 
Кв кв, u'\u041a\u0432 \u043a\u0432', квы, u'\u043a\u0432\u044b', kv, u'kv', [kʷ], u'[k\u02b7]', 
Ё ё, u'\u0401 \u0451', йо, u'\u0439\u043e', jo, u'jo', [jo], u'[jo]', 
ГӀ гӀ, u'\u0413\u04c0 \u0433\u04c0', гӀы, u'\u0433\u04c0\u044b', g°, u'g\xb0', [ʕ], u'[\u0295]', 
Б б, u'\u0411 \u0431', бы, u'\u0431\u044b', b, u'b', [b], u'[b]', 
Щ щ, u'\u0429 \u0449', щы, u'\u0449\u044b', ś, u'\u015b', [ɕ], u'[\u0255]', 
ЦӀ цӀ, u'\u0426\u04c0 \u0446\u04c0', цӀы, u'\u0446\u04c0\u044b', c°, u'c\xb0', [t͡sʼ], u'[t\u0361s\u02bc]', 
Х х, u'\u0425 \u0445', хвы, u'\u0445\u0432\u044b', h, u'h', [x], u'[x]', 
Р р, u'\u0420 \u0440', ры, u'\u0440\u044b', r, u'r', [r], u'[r]', 
КӀь кӀь, u'\u041a\u04c0\u044c \u043a\u04c0\u044c', кӀьы, u'\u043a\u04c0\u044c\u044b', k°', u"k\xb0'", [kʲʼ], u'[k\u02b2\u02bc]', 
К к, u'\u041a \u043a', кы, u'\u043a\u044b', k, u'k', [k], u'[k]', 
Е е, u'\u0415 \u0435', йэ, u'\u0439\u044d', e, u'e', [e], u'[e]', 
Гь гь, u'\u0413\u044c \u0433\u044c', гьы, u'\u0433\u044c\u044b', g', u"g'", [ɡʲ], u'[\u0261\u02b2]', 
А а, u'\u0410 \u0430', а, u'\u0430', a, u'a', [a], u'[a]', 
../TestData/abaza.xls
