batch_size = 32, epochs = 100

RUN 1

loss, 8.71246082408
consonantal_loss, 0.534583530045
sonorant_loss, 0.590806113021
continuant_loss, 0.590431994056
delayedrelease_loss, 0.948237616658
approximant_loss, 0.570628982369
nasal_loss, 0.122227131446
labial_loss, 0.134349688672
round_loss, 0.486967017745
strident_loss, 0.791483230436
height_loss, 0.617642897275
low_loss, 0.87895065917
front_loss, 0.735208690672
back_loss, 0.881497781634
tense_loss, 0.829445377519
consonantal_acc, 0.783592645063
sonorant_acc, 0.707213578543
continuant_acc, 0.719943422956
delayedrelease_acc, 0.620933522008
approximant_acc, 0.752475247609
nasal_acc, 0.973125884017
labial_acc, 0.964639321075
round_acc, 0.841584158458
strident_acc, 0.701555869873
height_acc, 0.745403111782
low_acc, 0.687411598387
front_acc, 0.718528995799
back_acc, 0.680339462602
tense_acc, 0.685997171188

RUN 2

loss, 9.90677396647
consonantal_loss, 0.649863011513
sonorant_loss, 0.694423926012
continuant_loss, 0.667731921019
delayedrelease_loss, 1.05236716351
approximant_loss, 0.667560289655
nasal_loss, 0.123706640934
labial_loss, 0.148311642464
round_loss, 0.611942575878
strident_loss, 0.8125952282
height_loss, 0.690875810225
low_loss, 0.993379088322
front_loss, 0.838740493486
back_loss, 0.990321201347
tense_loss, 0.964954809134
consonantal_acc, 0.649222065148
sonorant_acc, 0.486562942093
continuant_acc, 0.612446959024
delayedrelease_acc, 0.482319660622
approximant_acc, 0.616690240537
nasal_acc, 0.973125884017
labial_acc, 0.966053748232
round_acc, 0.698727015601
strident_acc, 0.644978783593
height_acc, 0.547383309844
low_acc, 0.547383309844
front_acc, 0.547383309844
back_acc, 0.547383309844
tense_acc, 0.547383309844

RUN 3

loss, 6.74215556877
consonantal_loss, 0.449354801606
sonorant_loss, 0.450519878338
continuant_loss, 0.504249441236
delayedrelease_loss, 0.738418926023
approximant_loss, 0.432327084359
nasal_loss, 0.0854720051072
labial_loss, 0.170477617063
round_loss, 0.440522150238
strident_loss, 0.641291578512
height_loss, 0.41420462462
low_loss, 0.641636780077
front_loss, 0.517590417383
back_loss, 0.661283203365
tense_loss, 0.594807046896
consonantal_acc, 0.837340877029
sonorant_acc, 0.831683168401
continuant_acc, 0.772277227765
delayedrelease_acc, 0.722772277312
approximant_acc, 0.810466761046
nasal_acc, 0.980198019802
labial_acc, 0.966053748232
round_acc, 0.790664780806
strident_acc, 0.752475247525
height_acc, 0.837340877029
low_acc, 0.768033946336
front_acc, 0.821782178302
back_acc, 0.760961810551
tense_acc, 0.790664780848

RUN 4

loss, 9.9047712693
consonantal_loss, 0.649710477494
sonorant_loss, 0.693995489258
continuant_loss, 0.66771393576
delayedrelease_loss, 1.05222586695
approximant_loss, 0.666893760504
nasal_loss, 0.123716253864
labial_loss, 0.14837815175
round_loss, 0.611959097831
strident_loss, 0.813304695205
height_loss, 0.690855391713
low_loss, 0.993010106738
front_loss, 0.838377729754
back_loss, 0.989890570519
tense_loss, 0.96473976173
consonantal_acc, 0.649222065148
sonorant_acc, 0.486562942093
continuant_acc, 0.612446959024
delayedrelease_acc, 0.482319660622
approximant_acc, 0.616690240537
nasal_acc, 0.973125884017
labial_acc, 0.966053748232
round_acc, 0.698727015601
strident_acc, 0.644978783593
height_acc, 0.547383309844
low_acc, 0.547383309844
front_acc, 0.547383309844
back_acc, 0.547383309844
tense_acc, 0.547383309844

RUN 5

loss, 9.90745501269
consonantal_loss, 0.650131711107
sonorant_loss, 0.694223481071
continuant_loss, 0.667833186612
delayedrelease_loss, 1.05221330993
approximant_loss, 0.667777939682
nasal_loss, 0.123708934906
labial_loss, 0.148323123677
round_loss, 0.611950919433
strident_loss, 0.812944712362
height_loss, 0.690907568035
low_loss, 0.993344886974
front_loss, 0.838751206472
back_loss, 0.990370880428
tense_loss, 0.964973063837
consonantal_acc, 0.649222065148
sonorant_acc, 0.486562942093
continuant_acc, 0.612446959024
delayedrelease_acc, 0.482319660622
approximant_acc, 0.616690240537
nasal_acc, 0.973125884017
labial_acc, 0.966053748232
round_acc, 0.698727015601
strident_acc, 0.644978783593
height_acc, 0.547383309844
low_acc, 0.547383309844
front_acc, 0.547383309844
back_acc, 0.547383309844
tense_acc, 0.547383309844

RUN 6

loss, 9.9087017348
consonantal_loss, 0.650213818149
sonorant_loss, 0.694275292935
continuant_loss, 0.667843200951
delayedrelease_loss, 1.05224470236
approximant_loss, 0.667682163365
nasal_loss, 0.123708732207
labial_loss, 0.148344902114
round_loss, 0.611948956948
strident_loss, 0.813028787159
height_loss, 0.691178919992
low_loss, 0.993575832631
front_loss, 0.838958676752
back_loss, 0.990589632678
tense_loss, 0.965107853123
consonantal_acc, 0.649222065148
sonorant_acc, 0.486562942093
continuant_acc, 0.612446959024
delayedrelease_acc, 0.482319660622
approximant_acc, 0.616690240537
nasal_acc, 0.973125884017
labial_acc, 0.966053748232
round_acc, 0.698727015601
strident_acc, 0.644978783593
height_acc, 0.547383309844
low_acc, 0.547383309844
front_acc, 0.547383309844
