A, [ɜ]
Ch, [tʃʰ]
Ę, [ẽ]
Ii, [i]
N, [n]
T’, [tʼ]
U, [ʊ]
Wea, [wæ]
Zh, [ʒ]
Aa, [a]
Ch’, [tʃʼ]
Ea, [æ]
J, [tʃ]
O, [o]
Tl, [tɬʰ]
Uu, [u]
Węą, [wæ͂]
ʔ, [ʔ]
Ą, [ɜ͂]
D, [t]
Ęą, [æ͂]
K, [kʰ]
Ǫ, [õ]
Tl’, [tɬʼ]
W, [w]
Wi, [wɪ]
Ąą, [ã]
Dl, [tɬ]
G, [k]
K’, [kʼ]
S, [s]
Ts, [tsʰ]
Wą, [wɜ͂]
Wii, [wi]
Ae, [ae]
Dz, [ts]
Gh, [ɣ]
L, [l]
S̲, [s̪]
T̲s̲, [ts̪ʰ]
Waa, [wa]
Y, [j]
Ai, [ai]
D̲z̲, [ts̪]
H, [h/x]
Ł, [ɬ]
Sh, [ʃ]
Ts’, [tsʼ]
Wąą, [wã]
Z, [z]
B, [p]
E, [e]
I, [ɪ]
M, [m]
T, [tʰ]
T̲s̲’, [ts̪ʼ]
We, [we]
Z̲, [z̪]
