А, [aˑ]
a, [a]
ГЬ, [heˑ]
h, [h]
Ж, [ʒeˑ]
ž, [ʒ]
КЪ, [q’aˑ]
q’, [q’]
Н, [en]
n,  [n]
С, [es]
s, [s]
Хӏ, [ʜaˑ]
ḥ, [ʜ~ħ]
Ч, [ʧʰeˑ]
č, [ʧʰ]
а́а, [ˉaː]
джв, [ʤʷ]
кв,  [kʷ]
къӀв, [qˤ’ʷ]
лӀв, [kʟ̝̊ʰʷ~kɬ̮ʿʷ~tɬ̮ʿʷ]
тт, [tː]
ххьӀв, [χˤʷː]
чч, [ʧʿː]
АЬ, [æˑ]
ä, [æ]
ГЪ, [ʁeˑ]
ğ, [ʁ]
З, [zeˑ]
z, [z]
КЪӏ, [qˤ’aˑ]
q‘’, [qˤʼ]
О, [oˑ]
o, [o]
Т, [tʰeˑ]
t, [t]
ХЬ, [xaˑ]
ẋ, [x]
ЧӀ, [ʧ’eˑ]
č’, [ʧ’]
ааӀ, [aˤː]
дз, [ʣ]
ккв, [kʷː]
ккъӀв, [qˤ’ʷː]
о́о, [ˉoː]
тв, [tʷ]
хъв, [qʷ]
чв, [ʧʷ]
АӀ, [aˤˑ]
a‘, [aˤ]
ГъӀ, [ʁˤeˑ]
ğ‘, [ʁˤ]
И, [iˑ]
i, [i]
КЬ, [kʟ̮̊’aˑ]
tł’,  [k͡kʟ̮̊’~kɬ̮’~tɬ̮’]
ОЬ, [øˑ]
ö, [ø]
ТӀ, [t’eˑ]
t’, [t’]
ХьӀ, [χˤaˑ]
x‘, [χˤ]
Ш, [ʃaˑ]
š, [ʃ]
гв, [gʷ]
е́е, [ˉeː/ˉje]
ккӏ, [k’ː]
кь, [ʟ̝~ɮ]
ооӀ, [oˤː]
хх, [χː]
хъӀв, [qˤʷ]
ччӀ, [ʧ’̲ː]
Ы, [ǝˑ]
y\ë, [ǝ]
ГӀ, [ʕeˑ]
ˤ\ġ, [ʕ~ʢ~ʡ]
ИӀ, [iˤˑ]
i‘, [iˤ]
Л, [el]
l, [l]
ОӀ, [oˤˑ]
o‘, [oˤ]
У, [uˑ]
u, [u]
ХЬ, [qʰaˑ]
q, [qʰ]
Щ, [ʃ͈ːaˑ]
šš, [ʃː]
гъв, [ʁʷ]
жв, [ʒʷ]
кӏв, [k’ʷ]
кьв, [kʟ̮̊’ʷ~kɬ̮’ʷ~tɬ̮’ʷ]
пп, [pʿ̲ː]
хв, [χʷ]
цц, [ʦʿː]
чӀв, [ʧ’ʷ]
Б, [beˑ]
b, [b]
Д, [deˑ]
d, [d]
Й, [jiˑ]
j, [j]
ЛЪ, [eʟ̝̊]
ł, [ʟ̝̊~ɬ]
П, [pʰeˑ]
p, [pʰ]
УЬ, [yˑ]
ü, [y]
ХЪӀ, [qˤaˑ]
q‘, [qˤ]
Ъ, [jer]
’, [ʔ]
гъӀв, [ʁˤʷ]
зв, [zʷ]
ккъ,  [qʼ]
ллъ, [ʟ̊ː̲~ɬː̲]
сс, [sː]
ххв, [χʷː]
цв, [ʦʷ]
шв, [ʃʷ]
В, [weˑ]
w, [w]
Е, [jeˑ]
(j)e, [e]
К, [kʰaˑ]
k,  [kʰ]
ЛӀ, [kʟ̮̊ʿaˑ]
tł, [kɬ̮~tɬ̮]
ПӀ, [p’eˑ]
p’, [p’]
УӀ, [uˤˑ]
u‘, [uˤ]
Ц, [ʦʰeˑ]
c, [ʦʰ]
Э, [eˑ]
e, [e]
дв, [dʷ]
и́и, [ˉiː]
къв,  [q’ʷ]
лъв, [ʟ̝̊ʷ~ɬʷ]
св, [sʷ]
ххьӀ, [χˤː]
ццӀ, [ʦ’̲ː]
щв, [ʃʷ̲ː]
Г, [geˑ]
g, [g]
ЕӀ, [eˤˑ]
(j)e‘, [eˤ/jeˤ]
Кӏ, [k’aˑ]
k’, [k’]
М, [em]
m, [m]
Р, [er]
r, [r]
Х, [χaˑ]
x, [χ]
Цӏ, [ʦ’eˑ]
c’, [ʦ’]
ЭӀ, [eˤˑ]
e‘-, [eˤ]
дж, [ʤ]
кк,  [kː]
ккъӀ, [qˤ’ː]
ллъв, [ʟ̝̊ʷ̲ː~ɬʷ̲ː]
ссв, [sʷː]
хьӀв, [χˤʷ]
цӀв, [ʦ’ʷ]
э́э, [ˉeː]
