b, [b]
kh, [kʰ]
kx’, [kx’]
h, [h]
ǀ, [ǀ]
gǃ, [ᶢǃ]
ǃx’, [ǃʜ]
gǂx’, [ᶢǂʢ] 
ǁx, [ǁᵡ] 
ã, [ã] 
p, [p]
ts, [ts]
dx, [dʶ]
r, [ɽ]
gǀh, [ᶢǀʱ]
ǃ, [ǃ]
gǂ, [ᶢǂ] 
ǂx’, [ǂʜ] 
gǁx’, [ᶢǁʢ] 
õ, [õ] 
bh, [bʱ]
dsh, [dsʱ]
tx, [tᵡ]
m, [m]
ǀh, [ǀʰ]
gǃh, [ᶢǃʱ]
ǂ, [ǂ] 
gǁ, [ᶢǁ] 
ǁx’, [ǁʜ] 
ũ, [ũ] 
ph, [pʰ]
tsh, [tsʰ]
tx’, [tʜ]
n, [n]
ǀ’, [ǀˀ]
ǃh, [ǃʰ]
gǂh, [ᶢǂʱ] 
ǁ, [ǁ] 
i, [i] 
ã̭, [ãˤ] 
d, [d]
ds’, [ds’]
dzx, [dzʶ]
m, [m̩]
ǀ’h, [ᵑ̊ǀʰ]
ǃ’, [ǃˀ]
ǂh, [ǂʰ] 
gǁh, [ᶢǁʱ] 
e, [e] 
õ̭, [õˤ]
t, [t]
ts’, [ts’]
dx, [dʒʶ]
ng, [ŋ̍]
nǀ, [ᵑǀ]
ǃ’h, [ᵑ̊ǃʰ]
ǂ’, [ǂˀ] 
ǁh, [ǁʰ] 
a,  ə] 
dh, [dʱ]
tš, [tʃ]
z, [z]
m̭, [m̰]
nǀ’h, [ᵑǀʱ]
nǃ, [ᵑǃ]
ǂ’h, [ᵑ̊ǂʰ] 
ǁ’, [ǁˀ] 
o, [o] 
th, [tʰ]
dšh, [dʃʱ]
s, [s]
mh, [m̤]
gǀx, [ᶢǀʶ]
nǃ’h, [ᵑǃʱ]
nǂ, [ᵑǂ] 
ǁ’h, [ᵑ̊ǁʰ] 
u, [u] 
g, [g]
tšh, [tʃʰ]
ž, [ʒ]
y, [j]
ǀx, [ǀᵡ]
gǃx, [ᶢǃʶ]
nǂ’h, [ᵑǂʱ] 
nǁ, [ᵑǁ] 
a̭, [aˤ] 
k, [k]
dš’, [dʃ’]
š, [ʃ]
w, [w]
gǀx’, [ᶢǀʢ]
ǃx, [ǃᵡ]
gǂx, [ᶢǂʶ] 
nǁ’h, [ᵑǁʱ] 
o̭, [oˤ] 
gh, [ɡʱ]
tš’, [tʃ’]
x, [x]
gǀ, [ᶢǀ]
ǀx’, [ǀʜ]
gǃx’, [ᶢǃʢ]
ǂx, [ǂᵡ] 
gǁx, [ᶢǁʶ] 
ĩ, [ĩ] 
