"IPA","IPA","SAMBA","","syllabic","stress","long","consonantal","sonorant","continuant","delayed release","approximant","tap","trill","nasal","voice","spread gl","constr gl","LABIAL","round","labiodental","CORONAL","anterior","distributed","strident","lateral","DORSAL","high","low","front","back","tense"
"¯","ɶ","&","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","+","+","-","-","0","0","0","-","+","-","+","+","-","0"
"¿","œ","9","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","+","+","-","-","0","0","0","-","+","-","-","+","-","-"
"‚","ə","@","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","-","-","-","+"
"«","ɜ","3","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","-","-","-","-"
"¬","ʉ","}","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","+","+","-","-","0","0","0","-","+","+","-","-","-","+"
"w","w","w","","-","-","-","-","+","+","0","+","-","-","-","+","-","-","+","+","-","-","0","0","0","-","+","+","-","-","+","+"
"","ɒ","Q","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","+","+","-","-","0","0","0","-","+","-","+","-","+","0"
"","ɔ","O","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","+","+","-","-","0","0","0","-","+","-","-","-","+","-"
"A","ɑ","A","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","+","0"
"a","a","a","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"Ã","ʌ","V","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","-","-","+","-"
"b","b","b","","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"d","d","d","","-","-","-","+","-","-","-","-","-","-","-","+","-","-","-","-","-","+","+","-","-","-","-","0","0","0","0","0"
"D","ð","D","","-","-","-","+","-","+","+","-","-","-","-","+","-","-","-","-","-","+","+","+","-","-","-","0","0","0","0","0"
"dƒZ","dʒ ","dZ ","","-","-","-","+","-","-","+","-","-","-","-","+","-","-","-","-","-","+","-","+","+","-","-","0","0","0","0","0"
"e","e","e","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","-","+","-","+"
"E","ɛ","E","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","-","+","-","-"
"f","f","f","","-","-","-","+","-","+","+","-","-","-","-","-","-","-","+","-","+","-","0","0","0","-","-","0","0","0","0","0"
"g","g","g","","-","-","-","+","-","-","-","-","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","+","-","0","0","0"
"h","h","h","","-","-","-","-","-","+","+","-","-","-","-","-","+","-","-","-","-","-","0","0","0","-","-","0","0","0","0","0"
"i","i","i","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","+","-","+","-","+"
"I","ɪ","I","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","+","-","+","-","-"
"j","j","j","","-","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","+","-","+","-","+"
"k","k","k","","-","-","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","-","+","+","-","0","0","0"
"l","l","l","","-","-","-","+","+","+","0","+","-","-","-","+","-","-","-","-","-","+","+","-","-","+","-","0","0","0","0","0"
"m","m","m","","-","-","-","+","+","-","0","-","-","-","+","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"N","ŋ","N","","-","-","-","+","+","-","0","-","-","-","+","+","-","-","-","-","-","-","0","0","0","-","+","+","-","0","0","0"
"n","n","n","","-","-","-","+","+","-","0","-","-","-","+","+","-","-","-","-","-","+","+","-","-","-","-","0","0","0","0","0"
"o","o","o","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","+","+","-","-","0","0","0","-","+","-","-","-","+","+"
"P","ɵ","8","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","+","+","-","-","0","0","0","-","+","-","-","-","-","+"
"p","p","p","","-","-","-","+","-","-","-","-","-","-","-","-","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"r","r","r","","-","-","-","+","+","+","0","+","-","+","-","+","-","-","-","-","-","+","+","-","-","-","-","0","0","0","0","0"
"S","ʃ","S","","-","-","-","+","-","+","+","-","-","-","-","-","-","-","-","-","-","+","-","+","+","-","-","0","0","0","0","0"
"s","s","s","","-","-","-","+","-","+","+","-","-","-","-","-","-","-","-","-","-","+","+","-","+","-","-","0","0","0","0","0"
"t","t","t","","-","-","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-","+","+","-","-","-","-","0","0","0","0","0"
"T","θ","T","","-","-","-","+","-","+","+","-","-","-","-","-","-","-","-","-","-","+","+","+","-","-","-","0","0","0","0","0"
"tƒS","tʃ","tS","","-","-","-","+","-","-","+","-","-","-","-","-","-","-","-","-","-","+","-","+","+","-","-","0","0","0","0","0"
"u","u","u","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","+","+","-","-","0","0","0","-","+","+","-","-","+","+"
"U","ʊ","U","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","+","+","-","-","0","0","0","-","+","+","-","-","+","-"
"v","v","v","","-","-","-","+","-","+","+","-","-","-","-","+","-","-","+","-","+","-","0","0","0","-","-","0","0","0","0","0"
"w","w","w","","-","-","-","-","+","+","0","+","-","-","-","+","-","-","+","+","-","-","0","0","0","-","+","+","-","-","+","+"
"y","y","y","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","+","+","-","-","0","0","0","-","+","+","-","+","-","+"
"Y","ʏ","Y","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","+","+","-","-","0","0","0","-","+","+","-","+","-","-"
"Z","ʒ","Z","","-","-","-","+","-","+","+","-","-","-","-","+","-","-","-","-","-","+","-","+","+","-","-","0","0","0","0","0"
"z","z","z","","-","-","-","+","-","+","+","-","-","-","-","+","-","-","-","-","-","+","+","-","+","-","-","0","0","0","0","0"
"Q","æ","{","","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","+","-","0"
