IPA	Substitute
(k)s	k
gb	NA
ba	b
ba	b
.p~b	p
-	NA
  ̮	NA
(d)ʒ	d͈̠ʒ
(j)	j̟
(k)s	s
(p)s	p
(p)s	s
ˉoː	o:
.p~b	b
[ˀ-	SYLL
[ˑefe	SYLL
[ˑele	SYLL
[ˑeme	SYLL
[ˑene	SYLL
[ˑese	SYLL
[ˀj	SYLL
[ˀl	SYLL
[ˀm	SYLL
[ˀv	SYLL
[ˀw	SYLL
\xaf	SYLL
\xb4	SYLL
\xdf	SYLL
\xe3	SYLL
\xe3j	SYLL
\xe6	SYLL
\xe6i	SYLL
\xe6l	SYLL
\xe6m	SYLL
\xe6n	SYLL
\xe6r	SYLL
\xe6s	SYLL
\xe7	SYLL
\xe7a	SYLL
\xe7e	SYLL
\xe7i	SYLL
\xe7o	SYLL
\xe7u	SYLL
\xe9	SYLL
\xf0	SYLL
\xf0w	SYLL
\xf3	SYLL
\xf5	SYLL
\xf5j	SYLL
\xf8	SYLL
\xf8y	SYLL
^	NA
`	NA
~	NA
~	NA
~	NA
¯	NA
´	NA
a	a
a	a
á	a
ã	a
a(ː)	a:
a,ə	a
a,ə	ə
ɑ:	ɑ:
a~ɑ	a
a~ɑ	ɑ
ɑ~a	ɑ
ɑ~a	a
a~a:	a
a~a:	a:
a~æ	a
a~æ	æ
a~ə	a
a~ə	ə
aː	a:
aː	a:
ãː	a:
aˤː	a:
aːi	aːi
aːm	SYLL
aːn	SYLL
aːŋ	SYLL
aːp	SYLL
aːt	SYLL
aːu	aːu
ae	ae
æ	æ
aə	aə
æˑ	æ
æe̝	æ
æe̝	e̝
æfː	SYLL
æi	æi
æks	SYLL
æl	SYLL
æm	SYLL
æn	SYLL
ær	SYLL
æs	SYLL
af	SYLL
ai	ai
aĭ	ai
ai̭	ai
ại	ai
ɐi	ɐi
aj	aj
ãj	aj
ak	Syll
al	Syll
am	Syll
an	Syll
aŋ	Syll
ao	ao
ap	Syll
as	Syll
at	Syll
au	au
aṷ	au
ạu	au
av	Syll
aw	aw
b	b
b	b
ɓ	ɓ
b̥	p
b,p	b
b,p	p
b~β	b
b~β	β
bá	b
bɔ	b
be	b
bə	b
beˑ	b
bʱ	bʱ
ɓʰ	ɓ
bʱa	bʱ
bʱɒ	bʱ
bʱɔ	bʱ
bʱə	bʱ
bi	b
biˑ	b
bja	bʲ
bjo	bʲ
bju	bʲ
bo	b
bu	b
bv	bv
bw	bʷ
c	c
c	c
ç	ç
ç	ç
ɔ	ɔ
ɔ	ɔ
ɕ	ɕ
ɔ̃	ɔ
ɔ:	ɔ:
ɔ~o	ɔ
ɔ~o	o
ɔ~ɵ	ɔ
ɔ~ɵ	ɵ
ca	c
ça	c
çɒ	c
cɒː	c
cɔ	c
c͡ç	c
c͡ç	ç
cɔː	c
cə	c
çe	ç
ɔɛ	ɔɛ
cʰ	cʰ
cʰə	cʰ
çi	ç
çiˑ	ç
ɔi	ɔi
ɔi̭	ɔi
ɔj	ɔj
ɔk	Syll
ɔm	Syll
ɔn	Syll
ɔŋ	Syll
ço	ç
ɔp	Syll
ɔt	Syll
cu	Syll
çu	Syll
ɔu	ɔu
ɔṷ	ɔu
ɔw	ɔw
çʷi	çʷ
d	d
d	d
ɗ	ɗ
ᶑ	ᶑ
d̪	d̪
ð	ð
ð	ð
ðˤ	ðˤ
d\xf0	NA
d~ð	d
d~ð	ð
dˁ~d	ðˤ
dˁ~d	d
ð~z	ð
ð~z	z
ʤ~ʒ	ʤ
ʤ~ʒ	ʒ
da	d
da	d
dá	d
dai	d
