イ, [ʔi] 
ワ, [ʔɰa] 
ヨ, [jo]
ホ, [ho] 
ガ, [ɡa] 
カ, [ka] 
チャ, [ʨa] 
シ, [ɕi] 
デ, [de] 
ル, [ɾu] 
マ, [ma] 
ボ, [bo] 
ポ, [po] 
エ, [ʔe] 
ン, [ʔn/ʔm]
ユ, [ju] 
フ, [ɸu] 
ゴ, [ɡo] 
コ, [ko] 
チョ, [ʨo] 
シェ, [ɕe] 
ダ, [da] 
ティ, [ti] 
モ, [mo] 
ブ, [bu] 
プ, [pu] 
ア, [ʔa] 
イ\ユィ, [i/ji]
ヱ, [ɰe] 
ヒャ, [ça] 
グ, [ɡu] 
ク, [ku] 
チュ, [ʨu] 
サ, [sa] 
ド, [do] 
テ, [te] 
ム, [mu] 
ビャ, [bja] 
ピャ, [pja] 
オ, [ʔo] 
エ\イェ, [e/je]
ワ, [ɰa] 
ヒョ, [ço] 
ギャ, [ɡja] 
キャ, [kja] 
ジ, [ʥi] 
ソ, [so] 
ドゥ, [du] 
タ, [ta] 
ミャ, [mja] 
ビョ, [bjo] 
ピュ, [pju] 
ウ, [ʔu] 
ア, [a]
ン, [n/m/ŋ/ɴ]
ヒュ, [çu] 
グヱ, [ɡʷe] 
クヱ, [kʷe] 
ジェ, [ʥe] 
ス, [su] 
リ, [ɾi] 
ト, [to] 
ミョ, [mjo] 
ビュ, [bju] 
ッ, [h/j/s/t/p]
ヤ, [ʔja] 
オ\ヲ, [o/wo]
ヒ, [çi] 
フヮ, [ɸa]
グヮ, [ɡʷa] 
クヮ, [kʷa] 
ジャ, [ʥa] 
シャ, [ɕa] 
レ, [ɾe] 
トゥ, [tu] 
ビ, [bi] 
ピ, [pi] 
ー, [ː]
ヨ, [ʔjo] 
ウ\ヲゥ, [u/wu]
ヘ, [çe] 
ギ, [ɡi] 
キ, [ki] 
チ, [ʨi] 
ジョ, [ʥo] 
シュ, [ɕu] 
ラ, [ɾa] 
ミ, [mi] 
ベ, [be] 
ペ, [pe] 
ユ, [ʔju] 
ヤ, [ja]
ハ, [ha] 
ゲ, [ɡe] 
ケ, [ke] 
チェ, [ʨe] 
ジュ, [ʥu] 
ディ, [di] 
ロ, [ɾo] 
メ, [me] 
バ, [ba] 
パ, [pa] 
