a, [a]
ɨ̤, [ɨ̤]
ə̤ː, [ə̤ː]
ʔb, [ʔb]
l, [l]
a:, [aː]
ɨ̤ː, [ɨ̤ː]
əi, [əi]
c, [t͡ʃ]
ʔl, [ʔl]
a̤ː, [a̤ː]
o, [o]
əɨ, [əɨ]
ç, [ç]
m, [m]
eː, [eː]
oː, [oː]
ou, [ou]
ʔd, [ʔd]
n, [n]
ɛ, [ɛ]
ɔ, [ɔ]
aə, [aə]
h, [h]
ɲ, [ɲ]
ɛː, [ɛː]
ɔː, [ɔː]
ai, [ai]
hl, [hl]
ŋ, [ŋ]
ɛ̤, [ɛ̤]
ɔ̤, [ɔ̤]
ɨə, [ɨə]
hm, [hm]
p, [p]
ɛ̤ː, [ɛ̤ː]
ṳ, [ṳ]
ao, [ao]
hn, [hn]
ph, [pʰ]
i̤, [i̤ː]
ṳː, [ṳː]
i̤ɜ, [i̤ɜ]
hɲ, [hɲ]
r, [r]
i̤ː, [i̤ː]
ə̤, [ə̤]
ṳɜ, [ṳɜ]
hr, [hr]
t, [t]
j, [j]
th, [tʰ]
ʔj, [ʔj]
w, [w]
k, [k]
ʔw, [ʔw]
kh, [kʰ]
ʔ, [ʔ]
Tampoon, ʔŋçən
