А, [a]
Д, [d]
К,  [kʰ]
КӀкӀ,  [k’ː]
М, [m]
СС, [sː]
ХъӀ, [q’~qχ’]
Ч, [ʧʰ]
Б, [b]
Дж, [ʤ]
Кк,  [kʰː]
Л, [l]
Н,  [n]
Т, [tʰ]
Хь, [ç]
Чч, [ ʧʰː]
В, [w/v]
Е, [e]
Къ,  [qʰː~qχː]
Лъ, [ɬ]
О, [o]
ТӀ, [t’]
ХӀ, [ħ]
ЧӀ, [ʧ’]
Г, [g]
Ж, [ʒ]
КъӀ,  [qʰ~qχ]
Лълъ, [ɬː]
П, [pʰ]
У, [u]
Ц, [ʦʰ]
ЧӀчӀ, [ʧ’ː]
Гъ, [ɣ]
З, [z]
Кь,  [k͡l’ː]
ЛЬ, [ʎ]
ПӀ, [p’]
Х, [x]
Цц, [ʦʰː]
Ш, [ʃ]
Гь, [h]
И, [i]
КьӀ, [k͡l’]
ЛӀ, [kl͡ʰː]
Р, [r]
Хх, [xː]
ЦӀ, [ʦ’]
Щ, [ʃː]
ГӀ, [ʕ]
Й, [j]
КӀ, [k’]
ЛӀъ, [kl͡ʰ]
С, [s]
Хъ, [q’ː~qχː’]
ЦӀцӀ, [ʦ’ː]
Ъ, [ʔ]
