a\à, [a/ɑ/ɔ]
o\ó, [u]
ai, [ai̭]
eu, [eṷ]
iò, [i̭ɔ]
b, [b/β/p]
gu, [g/ɣ/gṷ/ɣṷ]
m, [m/n]
r, [ɾ/r/Ø]
th,  [t/ʧ]
z, [z]
è, [ɛ]
u, [y/u]
ei, [ei̭]
èu, [ɛṷ]
io, [i̭o]
c, [k/s]
gü, [gṷ/ɣṷ]
n, [n/ŋ/Ø]
rr, [r]
tj\tg,  [ʤ]
e\é, [e]
ú, [y]
èi, [ɛi̭]
iu, [iṷ/i̭eṷ]
oa\ua, [ṷa]
ch, [t͡ʃ]
gl, [ggl]
nh, [ɲ/n]
s, [s/z]
tl, [ll]
i\í, [i/i̭]
ü, [y]
òi, [ɔi̭]
òu, [ɔṷ]
oe\ue, [ṷe]
ç, [s]
h, [ŋ]
sc, [s]
-ts, [ʦ]
í, [i]
oi, [oi̭]
ia, [i̭a]
d, [d/ð/t/Ø]
j, [ʒ/ʤ/ʧ/ʃ]
p, [p/Ø]
sh, [ʃ]
tz, [ʣ/tz]
ï, [i]
ui, [yi̭]
ie, [i̭e]
f, [f]
l\ll, [l]
qu, [k/kṷ]
ss, [s]
v, [b/β]
ò, [ɔ/o]
au, [aṷ]
iè, [i̭ɛ]
g, [g/ɣ/ʒ/ʧ/ʃ]
lh, [λ/l]
qü, [kṷ]
t,  [t/Ø]
x, [s/ks/dz/ts]
