a, [a]
o, [o]
ɛy,  [əj]
b, [p]
g, [k]
k’, [k’]
s, [s]
tł’, [tɬ’]
ą, [ã]
ǫ, [õ]
oy, [oj]
ch, [tʃʰ]
gh, [ʁ]
kw, [kʷʰ]
sh, [ʃ]
ts, [tsʰ]
e\ë,  [e]
u, [u]
ǫy, [õj]
ch’, [tʃ’]
ghw, [ʁʷ]
kw’, [kʼʷ]
t, [tʰ]
ts’, [ts’]
ę\ę̈,  [ẽ]
ų, [ũ]
uy, [uj]
d, [t]
h, [h]
l, [ɮ]
t’, [t’]
z, [z]
e\ɛ,  [ɛ]
ay, [aj]
ųy, [ũj]
dh, [ð]
hh, [χ]
ł, [ɬ]
th, [θ]
zh, [ʒ]
ę\ɛ̨,  [ɛ̃]
ąy, [ãj]
ddh, [tθ]
hhw, [χʷ]
m, [m]
tth, [tθʰ]
ʔ, [ʔ]
i, [i]
ey,  [ej]
dł, [tɬ]
j, [tʃ]
n, [n]
tth’, [tθʼ]
į, [ĩ]
ęy,  [ẽj]
dz, [ts]
k, [kʰ]
r, [r]
tł, [tɬʰ]
