А, [aˑ]
a, [a]
Д, [deˑ]
d, [d]
Й, [jiˑ]
j, [j]
ЛӀ, [kɬ̮ʿːaˑ]
tł, [kɬ̮ʿː~tɬ̮ʿː]
СӀ, [es’]
s’, [s’]
ХЬ, [xaˑ]
ẋ, [x]
ШӀ, [ʃ’aˑ]
š’, [ʃ’]
Б, [beˑ]
b, [b]
дж, [ʤ]
К, [kʿaˑ]
k, [kʿ]
М, [em]
m, [m]
Т, [tʿeˑ]
t, [tʿ]
ХӀ, [ħaˑ]
ḥ, [ħ]
Щ, [ʃːaˑ]
šš, [ʃː]
В, [weˑ]
w, [w]
Е, [jeˑ]
je, [e/je]
КЪ, [q͈’ːaˑ]
q’, [q’]
Н, [en]
n, [n]
ТӀ, [t’eˑ]
t’, [t’]
Ц, [ʦʿeˑ]
c, [ʦʿ]
Ъ, [jer]
’, [ʔ]
Г, [geˑ]
g, [g]
Ё, [jɔˑ]
jo, [jɔ]
КЬ, [kɬ̮’ːaˑ]
tł’, [kɬ̮’ː~tɬ̮’ː]
О, [oˑ]
o, [o]
У, [uˑ]
u, [u]
ЦӀ, [ʦ’eˑ]
c’, [ʦ’]
Э, [eˑ]
e-, [e]
ГЪ, [ʁeˑ]
ğ, [ʁ]
Ж, [ʒeˑ]
ž, [ʒ]
КӀ, [k’aˑ]
k’, [k’]
П, [pʿeˑ]
p, [pʿ]
Ф, [ef]
f, [f]
Ч, [ʧʿeˑ]
č, [ʧʿ]
Ю, [juˑ]
ju, [ju]
ГЬ, [heˑ]
h, [h]
З, [zeˑ]
z, [z]
Л, [el]
l, [l]
Р, [er]
r, [r]
Х, [χaˑ]
x, [χ]
ЧӀ, [ʧ’eˑ]
č’, [ʧ’]
Я, [jaˑ]
ja, [ja]
ГӀ, [ʡeˑ]
ġ\’, [ʡ]
И, [iˑ]
i, [i]
ЛЪ, [eɬ]
ł, [ɬ]
С, [es]
s, [s]
ХЪ, [qʿaˑ]
q, [qʿ]
Ш, [ʃaˑ]
š, [ʃ]
