k, [kɒː]
[cɒː], [cɒː]
[ɗɒː], [ɗɒː]
[tɒː], [tɒː]
[ɓɒː], [ɓɒː]
[sɒː],  [sɒː]
[Iɒː], [Iɒː]
x, [kʰɒː]
[cʰɒː], [cʰɒː]
[tʰɒː], [tʰɒː]
[tʰɒː], [tʰɒː]
[pʰɒː], [pʰɒː]
[hɒː], [hɒː]
[ʔɒː], [ʔɒː]
K, [kɔː]
[cɔː], [cɔː]
[ɗɔː], [ɗɔː]
[tɔː], [tɔː]
[pɔː], [pɔː]
[jɔː], [jɔː]
[wɔː], [wɔː]
X, [kʰɔː]
[cʰɔː], [cʰɔː]
[tʰɔː], [tʰɔː]
[tʰɔː], [tʰɔː]
[pʰɔː], [pʰɔː]
[rɔː], [rɔː]
g, [ŋɔː]
[ɲɒː], [ɲɒː]
[nɔː], [nɔː]
[nɔː], [nɔː]
[mɔː], [mɔː]
[Iɔː], [Iɔː]
PasaExµr, PasaExµr
[pʰaːsaː, [pʰaːsaː kʰmaer ]
Khmer, Gk¡rRkmxemrPasa
[, [ ɒːkʰɒːrɒːkrɒːm kʰmaer pʰaːsaː]
RBHraCaNacRk, RBHraCaNacRk km¬uCa
[brah, [brah raːcaː naːcɒːkr kɒːmpocaː]
Kingdom, ព្រះរាជាណាចក្រ កម្ពុជា
